2026-04-02 22:25:35,035 [INFO] Loading domains from output/mega_merged_bottom.csv...
2026-04-02 22:25:35,453 [INFO] Total domains: 175,658
2026-04-02 22:25:35,453 [INFO] To process: 175,658
2026-04-02 22:25:35,453 [INFO] Workers: 20, Chunk size: 500
2026-04-02 22:28:16,355 [INFO] Chunk 1/352 | Processed: 500 | Active: 128 | E-commerce: 112 | Rate: 3/s | ETA: 15.7h
2026-04-02 22:31:10,916 [INFO] Chunk 2/352 | Processed: 1,000 | Active: 242 | E-commerce: 208 | Rate: 3/s | ETA: 16.3h
2026-04-02 22:33:53,194 [INFO] Chunk 3/352 | Processed: 1,500 | Active: 369 | E-commerce: 314 | Rate: 3/s | ETA: 16.1h
2026-04-02 22:36:34,782 [INFO] Chunk 4/352 | Processed: 2,000 | Active: 502 | E-commerce: 435 | Rate: 3/s | ETA: 15.9h
2026-04-02 22:39:42,916 [INFO] Chunk 5/352 | Processed: 2,500 | Active: 601 | E-commerce: 521 | Rate: 3/s | ETA: 16.3h
2026-04-02 22:42:33,754 [INFO] Chunk 6/352 | Processed: 3,000 | Active: 740 | E-commerce: 643 | Rate: 3/s | ETA: 16.3h
2026-04-02 22:45:00,341 [INFO] Chunk 7/352 | Processed: 3,500 | Active: 886 | E-commerce: 774 | Rate: 3/s | ETA: 15.9h
2026-04-02 22:47:02,912 [INFO] Chunk 8/352 | Processed: 4,000 | Active: 1,006 | E-commerce: 879 | Rate: 3/s | ETA: 15.3h
2026-04-02 22:49:09,918 [INFO] Chunk 9/352 | Processed: 4,500 | Active: 1,147 | E-commerce: 1,013 | Rate: 3/s | ETA: 14.9h
2026-04-02 22:51:13,912 [INFO] Chunk 10/352 | Processed: 5,000 | Active: 1,263 | E-commerce: 1,114 | Rate: 3/s | ETA: 14.6h
2026-04-02 22:53:13,902 [INFO] Chunk 11/352 | Processed: 5,500 | Active: 1,395 | E-commerce: 1,236 | Rate: 3/s | ETA: 14.3h
2026-04-02 22:55:24,913 [INFO] Chunk 12/352 | Processed: 6,000 | Active: 1,510 | E-commerce: 1,342 | Rate: 3/s | ETA: 14.1h
2026-04-02 22:57:41,462 [INFO] Chunk 13/352 | Processed: 6,500 | Active: 1,636 | E-commerce: 1,450 | Rate: 3/s | ETA: 13.9h
2026-04-02 23:00:14,972 [INFO] Chunk 14/352 | Processed: 7,000 | Active: 1,746 | E-commerce: 1,550 | Rate: 3/s | ETA: 13.9h
2026-04-02 23:02:30,912 [INFO] Chunk 15/352 | Processed: 7,500 | Active: 1,892 | E-commerce: 1,685 | Rate: 3/s | ETA: 13.8h
2026-04-02 23:04:54,930 [INFO] Chunk 16/352 | Processed: 8,000 | Active: 2,014 | E-commerce: 1,789 | Rate: 3/s | ETA: 13.7h
2026-04-02 23:07:12,915 [INFO] Chunk 17/352 | Processed: 8,500 | Active: 2,076 | E-commerce: 1,838 | Rate: 3/s | ETA: 13.6h
2026-04-02 23:09:38,915 [INFO] Chunk 18/352 | Processed: 9,000 | Active: 2,091 | E-commerce: 1,849 | Rate: 3/s | ETA: 13.6h
2026-04-02 23:11:45,912 [INFO] Chunk 19/352 | Processed: 9,500 | Active: 2,100 | E-commerce: 1,853 | Rate: 3/s | ETA: 13.5h
2026-04-02 23:12:41,104 [WARNING] Can not load cookies: Illegal cookie name 'Augustine,zip'
2026-04-02 23:14:09,863 [INFO] Chunk 20/352 | Processed: 10,000 | Active: 2,109 | E-commerce: 1,859 | Rate: 3/s | ETA: 13.4h
2026-04-02 23:16:55,005 [INFO] Chunk 21/352 | Processed: 10,500 | Active: 2,121 | E-commerce: 1,864 | Rate: 3/s | ETA: 13.5h
2026-04-02 23:19:19,376 [INFO] Chunk 22/352 | Processed: 11,000 | Active: 2,131 | E-commerce: 1,871 | Rate: 3/s | ETA: 13.4h
2026-04-02 23:21:42,753 [INFO] Chunk 23/352 | Processed: 11,500 | Active: 2,143 | E-commerce: 1,875 | Rate: 3/s | ETA: 13.4h
2026-04-02 23:24:09,379 [INFO] Chunk 24/352 | Processed: 12,000 | Active: 2,152 | E-commerce: 1,879 | Rate: 3/s | ETA: 13.3h
2026-04-02 23:26:28,639 [INFO] Chunk 25/352 | Processed: 12,500 | Active: 2,160 | E-commerce: 1,884 | Rate: 3/s | ETA: 13.2h
2026-04-02 23:29:02,020 [INFO] Chunk 26/352 | Processed: 13,000 | Active: 2,178 | E-commerce: 1,894 | Rate: 3/s | ETA: 13.2h
2026-04-02 23:32:36,207 [INFO] Chunk 27/352 | Processed: 13,500 | Active: 2,185 | E-commerce: 1,897 | Rate: 3/s | ETA: 13.4h
2026-04-02 23:37:07,822 [INFO] Chunk 28/352 | Processed: 14,000 | Active: 2,199 | E-commerce: 1,904 | Rate: 3/s | ETA: 13.8h
2026-04-02 23:42:04,540 [INFO] Chunk 29/352 | Processed: 14,500 | Active: 2,215 | E-commerce: 1,916 | Rate: 3/s | ETA: 14.2h
2026-04-02 23:46:27,915 [INFO] Chunk 30/352 | Processed: 15,000 | Active: 2,229 | E-commerce: 1,922 | Rate: 3/s | ETA: 14.4h
2026-04-02 23:51:06,198 [INFO] Chunk 31/352 | Processed: 15,500 | Active: 2,242 | E-commerce: 1,927 | Rate: 3/s | ETA: 14.7h
2026-04-02 23:55:39,703 [INFO] Chunk 32/352 | Processed: 16,000 | Active: 2,254 | E-commerce: 1,933 | Rate: 3/s | ETA: 15.0h
2026-04-03 00:00:25,793 [INFO] Chunk 33/352 | Processed: 16,500 | Active: 2,263 | E-commerce: 1,936 | Rate: 3/s | ETA: 15.2h
2026-04-03 00:05:07,776 [INFO] Chunk 34/352 | Processed: 17,000 | Active: 2,269 | E-commerce: 1,941 | Rate: 3/s | ETA: 15.5h
2026-04-03 00:10:09,446 [INFO] Chunk 35/352 | Processed: 17,500 | Active: 2,278 | E-commerce: 1,946 | Rate: 3/s | ETA: 15.8h
2026-04-03 00:14:29,864 [INFO] Chunk 36/352 | Processed: 18,000 | Active: 2,289 | E-commerce: 1,951 | Rate: 3/s | ETA: 15.9h
2026-04-03 00:19:01,427 [INFO] Chunk 37/352 | Processed: 18,500 | Active: 2,301 | E-commerce: 1,957 | Rate: 3/s | ETA: 16.1h
2026-04-03 00:23:02,883 [INFO] Chunk 38/352 | Processed: 19,000 | Active: 2,310 | E-commerce: 1,960 | Rate: 3/s | ETA: 16.1h
2026-04-03 00:26:59,915 [INFO] Chunk 39/352 | Processed: 19,500 | Active: 2,324 | E-commerce: 1,967 | Rate: 3/s | ETA: 16.2h
2026-04-03 00:31:02,886 [INFO] Chunk 40/352 | Processed: 20,000 | Active: 2,335 | E-commerce: 1,970 | Rate: 3/s | ETA: 16.3h
2026-04-03 00:35:03,450 [INFO] Chunk 41/352 | Processed: 20,500 | Active: 2,354 | E-commerce: 1,981 | Rate: 3/s | ETA: 16.3h
2026-04-03 00:39:34,792 [INFO] Chunk 42/352 | Processed: 21,000 | Active: 2,361 | E-commerce: 1,985 | Rate: 3/s | ETA: 16.4h
2026-04-03 00:44:23,632 [INFO] Chunk 43/352 | Processed: 21,500 | Active: 2,374 | E-commerce: 1,995 | Rate: 3/s | ETA: 16.6h
2026-04-03 00:49:19,885 [INFO] Chunk 44/352 | Processed: 22,000 | Active: 2,389 | E-commerce: 2,005 | Rate: 3/s | ETA: 16.7h
2026-04-03 00:53:55,830 [INFO] Chunk 45/352 | Processed: 22,500 | Active: 2,398 | E-commerce: 2,008 | Rate: 3/s | ETA: 16.8h
2026-04-03 00:59:01,522 [INFO] Chunk 46/352 | Processed: 23,000 | Active: 2,404 | E-commerce: 2,009 | Rate: 2/s | ETA: 17.0h
2026-04-03 01:04:11,776 [INFO] Chunk 47/352 | Processed: 23,500 | Active: 2,416 | E-commerce: 2,014 | Rate: 2/s | ETA: 17.1h
2026-04-03 01:08:55,814 [INFO] Chunk 48/352 | Processed: 24,000 | Active: 2,435 | E-commerce: 2,024 | Rate: 2/s | ETA: 17.2h
2026-04-03 01:13:09,912 [INFO] Chunk 49/352 | Processed: 24,500 | Active: 2,458 | E-commerce: 2,038 | Rate: 2/s | ETA: 17.2h
2026-04-03 01:17:36,838 [INFO] Chunk 50/352 | Processed: 25,000 | Active: 2,473 | E-commerce: 2,044 | Rate: 2/s | ETA: 17.3h
2026-04-03 01:22:36,677 [INFO] Chunk 51/352 | Processed: 25,500 | Active: 2,486 | E-commerce: 2,051 | Rate: 2/s | ETA: 17.4h
2026-04-03 01:27:05,820 [INFO] Chunk 52/352 | Processed: 26,000 | Active: 2,505 | E-commerce: 2,060 | Rate: 2/s | ETA: 17.4h
2026-04-03 01:31:35,789 [INFO] Chunk 53/352 | Processed: 26,500 | Active: 2,521 | E-commerce: 2,066 | Rate: 2/s | ETA: 17.4h
2026-04-03 01:36:34,888 [INFO] Chunk 54/352 | Processed: 27,000 | Active: 2,534 | E-commerce: 2,075 | Rate: 2/s | ETA: 17.5h
2026-04-03 01:41:13,274 [INFO] Chunk 55/352 | Processed: 27,500 | Active: 2,548 | E-commerce: 2,084 | Rate: 2/s | ETA: 17.6h
2026-04-03 01:46:19,757 [INFO] Chunk 56/352 | Processed: 28,000 | Active: 2,558 | E-commerce: 2,093 | Rate: 2/s | ETA: 17.6h
2026-04-03 01:51:35,864 [INFO] Chunk 57/352 | Processed: 28,500 | Active: 2,572 | E-commerce: 2,100 | Rate: 2/s | ETA: 17.7h
2026-04-03 01:56:12,166 [INFO] Chunk 58/352 | Processed: 29,000 | Active: 2,582 | E-commerce: 2,108 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:00:15,540 [INFO] Chunk 59/352 | Processed: 29,500 | Active: 2,601 | E-commerce: 2,120 | Rate: 2/s | ETA: 17.7h
2026-04-03 02:05:14,831 [INFO] Chunk 60/352 | Processed: 30,000 | Active: 2,612 | E-commerce: 2,126 | Rate: 2/s | ETA: 17.8h
