nohup: ignoring input
2026-04-02 21:50:42,851 [INFO] Loaded 48,454 domains from output/remaining_ecom_filtered.csv
2026-04-02 21:50:42,851 [INFO] To process: 48,454
2026-04-02 21:50:42,851 [INFO] Workers: 15, Chunk size: 500
2026-04-02 21:55:05,438 [INFO] Chunk 1/97 | Processed: 500 | Active: 310 | E-commerce: 55 (11.0%) | Rate: 2/s | ETA: 7.0h
2026-04-02 21:59:56,098 [INFO] Chunk 2/97 | Processed: 1,000 | Active: 554 | E-commerce: 89 (8.9%) | Rate: 2/s | ETA: 7.3h
2026-04-02 22:03:58,346 [INFO] Chunk 3/97 | Processed: 1,500 | Active: 861 | E-commerce: 136 (9.1%) | Rate: 2/s | ETA: 6.9h
2026-04-02 22:07:50,462 [INFO] Chunk 4/97 | Processed: 2,000 | Active: 1,188 | E-commerce: 191 (9.6%) | Rate: 2/s | ETA: 6.6h
2026-04-02 22:12:03,911 [INFO] Chunk 5/97 | Processed: 2,500 | Active: 1,479 | E-commerce: 223 (8.9%) | Rate: 2/s | ETA: 6.5h
2026-04-02 22:15:43,743 [INFO] Chunk 6/97 | Processed: 3,000 | Active: 1,785 | E-commerce: 248 (8.3%) | Rate: 2/s | ETA: 6.3h
2026-04-02 22:19:29,812 [INFO] Chunk 7/97 | Processed: 3,500 | Active: 2,092 | E-commerce: 270 (7.7%) | Rate: 2/s | ETA: 6.2h
2026-04-02 22:22:54,799 [INFO] Chunk 8/97 | Processed: 4,000 | Active: 2,449 | E-commerce: 306 (7.7%) | Rate: 2/s | ETA: 6.0h
2026-04-02 22:27:16,300 [INFO] Chunk 9/97 | Processed: 4,500 | Active: 2,764 | E-commerce: 344 (7.6%) | Rate: 2/s | ETA: 6.0h
2026-04-02 22:31:17,918 [INFO] Chunk 10/97 | Processed: 5,000 | Active: 3,085 | E-commerce: 379 (7.6%) | Rate: 2/s | ETA: 5.9h
2026-04-02 22:35:12,910 [INFO] Chunk 11/97 | Processed: 5,500 | Active: 3,402 | E-commerce: 426 (7.7%) | Rate: 2/s | ETA: 5.8h
2026-04-02 22:39:09,916 [INFO] Chunk 12/97 | Processed: 6,000 | Active: 3,746 | E-commerce: 480 (8.0%) | Rate: 2/s | ETA: 5.7h
2026-04-02 22:42:58,305 [INFO] Chunk 13/97 | Processed: 6,500 | Active: 4,085 | E-commerce: 523 (8.0%) | Rate: 2/s | ETA: 5.6h
2026-04-02 22:45:47,801 [INFO] Chunk 14/97 | Processed: 7,000 | Active: 4,442 | E-commerce: 572 (8.2%) | Rate: 2/s | ETA: 5.4h
2026-04-02 22:48:40,078 [INFO] Chunk 15/97 | Processed: 7,500 | Active: 4,796 | E-commerce: 625 (8.3%) | Rate: 2/s | ETA: 5.3h
2026-04-02 22:51:23,004 [INFO] Chunk 16/97 | Processed: 8,000 | Active: 5,157 | E-commerce: 682 (8.5%) | Rate: 2/s | ETA: 5.1h
2026-04-02 22:54:22,670 [INFO] Chunk 17/97 | Processed: 8,500 | Active: 5,506 | E-commerce: 739 (8.7%) | Rate: 2/s | ETA: 5.0h
2026-04-02 22:57:16,917 [INFO] Chunk 18/97 | Processed: 9,000 | Active: 5,887 | E-commerce: 803 (8.9%) | Rate: 2/s | ETA: 4.9h
2026-04-02 23:00:24,936 [INFO] Chunk 19/97 | Processed: 9,500 | Active: 6,239 | E-commerce: 856 (9.0%) | Rate: 2/s | ETA: 4.8h
2026-04-02 23:03:21,912 [INFO] Chunk 20/97 | Processed: 10,000 | Active: 6,600 | E-commerce: 900 (9.0%) | Rate: 2/s | ETA: 4.7h
2026-04-02 23:06:15,519 [INFO] Chunk 21/97 | Processed: 10,500 | Active: 6,961 | E-commerce: 944 (9.0%) | Rate: 2/s | ETA: 4.6h
2026-04-02 23:09:00,109 [INFO] Chunk 22/97 | Processed: 11,000 | Active: 7,314 | E-commerce: 1,000 (9.1%) | Rate: 2/s | ETA: 4.4h
2026-04-02 23:12:04,911 [INFO] Chunk 23/97 | Processed: 11,500 | Active: 7,667 | E-commerce: 1,042 (9.1%) | Rate: 2/s | ETA: 4.4h
2026-04-02 23:15:10,917 [INFO] Chunk 24/97 | Processed: 12,000 | Active: 8,016 | E-commerce: 1,093 (9.1%) | Rate: 2/s | ETA: 4.3h
2026-04-02 23:18:43,205 [INFO] Chunk 25/97 | Processed: 12,500 | Active: 8,373 | E-commerce: 1,139 (9.1%) | Rate: 2/s | ETA: 4.2h
2026-04-02 23:22:04,210 [INFO] Chunk 26/97 | Processed: 13,000 | Active: 8,740 | E-commerce: 1,199 (9.2%) | Rate: 2/s | ETA: 4.2h
2026-04-02 23:25:23,500 [INFO] Chunk 27/97 | Processed: 13,500 | Active: 9,103 | E-commerce: 1,265 (9.4%) | Rate: 2/s | ETA: 4.1h
2026-04-02 23:28:45,622 [INFO] Chunk 28/97 | Processed: 14,000 | Active: 9,449 | E-commerce: 1,305 (9.3%) | Rate: 2/s | ETA: 4.0h
2026-04-02 23:33:36,911 [INFO] Chunk 29/97 | Processed: 14,500 | Active: 9,666 | E-commerce: 1,334 (9.2%) | Rate: 2/s | ETA: 4.0h
2026-04-02 23:39:28,197 [INFO] Chunk 30/97 | Processed: 15,000 | Active: 9,801 | E-commerce: 1,348 (9.0%) | Rate: 2/s | ETA: 4.0h
2026-04-02 23:46:01,848 [INFO] Chunk 31/97 | Processed: 15,500 | Active: 9,860 | E-commerce: 1,358 (8.8%) | Rate: 2/s | ETA: 4.1h
2026-04-02 23:52:31,115 [INFO] Chunk 32/97 | Processed: 16,000 | Active: 9,935 | E-commerce: 1,365 (8.5%) | Rate: 2/s | ETA: 4.1h
2026-04-02 23:58:40,335 [INFO] Chunk 33/97 | Processed: 16,500 | Active: 10,018 | E-commerce: 1,372 (8.3%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:05:02,786 [INFO] Chunk 34/97 | Processed: 17,000 | Active: 10,094 | E-commerce: 1,381 (8.1%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:12:09,359 [INFO] Chunk 35/97 | Processed: 17,500 | Active: 10,094 | E-commerce: 1,381 (7.9%) | Rate: 2/s | ETA: 4.2h
2026-04-03 00:17:48,639 [INFO] Chunk 36/97 | Processed: 18,000 | Active: 10,273 | E-commerce: 1,401 (7.8%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:23:34,957 [INFO] Chunk 37/97 | Processed: 18,500 | Active: 10,453 | E-commerce: 1,428 (7.7%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:29:13,350 [INFO] Chunk 38/97 | Processed: 19,000 | Active: 10,635 | E-commerce: 1,459 (7.7%) | Rate: 2/s | ETA: 4.1h
