domain,url,platform,quality_score,has_products,product_count,ecom_signals,detected_payments,monthly_visits,source,tranco_rank,majestic_rank
lectricebikes.com,https://lectricebikes.com,shopify,84,True,3,5,,1254090,fast_ecom_remaining,,
koonbooks.com,https://koonbooks.com,shopify,81,True,3,5,,183381,fast_ecom_remaining,,
currentboutique.com,https://currentboutique.com,shopify,81,True,3,5,,173859,fast_ecom_remaining,,
thefurnaceoutlet.com,https://thefurnaceoutlet.com,shopify,81,True,3,5,,170721,fast_ecom_remaining,,
thesinkboutique.com,https://thesinkboutique.com,shopify,81,True,3,5,,550315,fast_ecom_remaining,,
outofdarts.com,https://outofdarts.com,shopify,81,True,3,5,,111906,fast_ecom_remaining,,
amctheatresshop.com,https://amctheatresshop.com,shopify,81,True,3,5,,768261,fast_ecom_remaining,,
meedenart.com,https://meedenart.com,shopify,81,True,3,5,,124275,fast_ecom_remaining,,
thewreathshop.com,https://thewreathshop.com,shopify,81,True,3,5,,218834,fast_ecom_remaining,,
themjewelersny.com,https://themjewelersny.com,shopify,81,True,3,5,,234631,fast_ecom_remaining,,
sandandfoghome.com,https://sandandfoghome.com,shopify,81,True,3,5,,222490,fast_ecom_remaining,,
alaindupetit.com,https://alaindupetit.com,shopify,81,True,3,5,,111906,fast_ecom_remaining,,
allfreshseafood.com,https://allfreshseafood.com,shopify,81,True,3,5,,113794,fast_ecom_remaining,,
bravebooks.us,https://bravebooks.us,shopify,81,True,3,5,,141475,fast_ecom_remaining,,
peterbiltparts.com,https://peterbiltparts.com,shopify,81,True,3,5,,127741,fast_ecom_remaining,,
gmadeals.com,https://gmadeals.com,shopify,81,True,3,5,,100050,fast_ecom_remaining,,
navitasorganics.com,https://navitasorganics.com,shopify,81,True,3,5,,178244,fast_ecom_remaining,,
choicefineart.com,https://choicefineart.com,shopify,81,True,3,5,,101499,fast_ecom_remaining,,
cabletimetech.com,https://cabletimetech.com,shopify,81,True,3,5,,138364,fast_ecom_remaining,,
velascarves.com,https://velascarves.com,shopify,81,True,3,5,,157447,fast_ecom_remaining,,
metvmall.com,https://metvmall.com,shopify,81,True,3,5,,132883,fast_ecom_remaining,,
easy-clothes.us,https://easy-clothes.us,shopify,81,True,3,5,,314540,fast_ecom_remaining,,
engwe-bikes.com,https://engwe-bikes.com,shopify,81,True,3,5,,137417,fast_ecom_remaining,,
society6.com,https://society6.com,shopify,80,True,5,0,,2119428,tranco_top100k,17907,0
nzxt.com,https://nzxt.com,shopify,80,True,5,0,,3320877,tranco_top100k,23347,0
store.nytimes.com,https://store.nytimes.com,shopify,80,True,0,5,,248424784,storeleads,,
shop.bbc.com,https://shop.bbc.com,shopify,80,True,0,5,,65841845,storeleads,,
store.onlyfans.com,https://store.onlyfans.com,shopify,80,True,0,5,,63953593,storeleads,,
shop.hulu.com,https://shop.hulu.com,shopify,80,True,0,5,,33050904,storeleads,,
www.stanley1913.com,https://www.stanley1913.com,shopify,80,True,0,5,,26499135,storeleads,,
ring.com,https://ring.com,shopify,80,True,0,5,,16282780,storeleads,,
www.fashionnova.com,https://www.fashionnova.com,shopify,80,True,0,5,,15106424,storeleads,,
www.carparts.com,https://www.carparts.com,shopify,80,True,0,5,,13293955,storeleads,,
www.sanrio.com,https://www.sanrio.com,shopify,80,True,0,5,,12305193,storeleads,,
www.onepeloton.com,https://www.onepeloton.com,shopify,80,True,0,5,,12287316,storeleads,,
www.davidsbridal.com,https://www.davidsbridal.com,shopify,80,True,0,5,,11071323,storeleads,,
waxcenter.com,https://waxcenter.com,shopify,80,True,0,5,,9126674,storeleads,,
www.corsair.com,https://www.corsair.com,shopify,80,True,0,5,,8692740,storeleads,,
www.heydude.com,https://www.heydude.com,shopify,80,True,0,5,,8536292,storeleads,,
www.stevemadden.com,https://www.stevemadden.com,shopify,80,True,0,5,,8459166,storeleads,,
www.windsorstore.com,https://www.windsorstore.com,shopify,80,True,0,5,,8239448,storeleads,,
www.mccormick.com,https://www.mccormick.com,shopify,80,True,0,5,,7565042,storeleads,,
www.aloyoga.com,https://www.aloyoga.com,shopify,80,True,0,5,,7364534,storeleads,,
us.princesspolly.com,https://us.princesspolly.com,shopify,80,True,0,5,,7344086,storeleads,,
soldejaneiro.com,https://soldejaneiro.com,shopify,80,True,0,5,,7142499,storeleads,,
www.rainbowshops.com,https://www.rainbowshops.com,shopify,80,True,0,5,,6980728,storeleads,,
www.myfonts.com,https://www.myfonts.com,shopify,80,True,0,5,,6840523,storeleads,,
owalalife.com,https://owalalife.com,shopify,80,True,0,5,,6592828,storeleads,,
www.gymshark.com,https://www.gymshark.com,shopify,80,True,0,5,,6448194,storeleads,,
www.wearfigs.com,https://www.wearfigs.com,shopify,80,True,0,5,,6423148,storeleads,,
www.mindbodygreen.com,https://www.mindbodygreen.com,shopify,80,True,0,5,,6313184,storeleads,,
www.profootballhof.com,https://www.profootballhof.com,shopify,80,True,0,5,,6234698,storeleads,,
ruggable.com,https://ruggable.com,shopify,80,True,0,5,,5293286,storeleads,,
www.nolo.com,https://www.nolo.com,shopify,80,True,0,5,,5269923,storeleads,,
www.overstock.com,https://www.overstock.com,shopify,80,True,0,5,,5227863,storeleads,,
www.mucinex.com,https://www.mucinex.com,shopify,80,True,0,5,,5196643,storeleads,,
fearofgod.com,https://fearofgod.com,shopify,80,True,0,5,,4995268,storeleads,,
www.barstoolsports.com,https://www.barstoolsports.com,shopify,80,True,0,5,,4943558,storeleads,,
www.tcl.com,https://www.tcl.com,shopify,80,True,0,5,,4940627,storeleads,,
www.quince.com,https://www.quince.com,shopify,80,True,0,5,,4917221,storeleads,,
www.opi.com,https://www.opi.com,shopify,80,True,0,5,,4820747,storeleads,,
www.gia.edu,https://www.gia.edu,shopify,80,True,0,5,,4820329,storeleads,,
www.metv.com,https://www.metv.com,shopify,80,True,0,5,,4775698,storeleads,,
www.anker.com,https://www.anker.com,shopify,80,True,0,5,,4753065,storeleads,,
www.neweracap.com,https://www.neweracap.com,shopify,80,True,0,5,,4649200,storeleads,,
labyrinthos.co,https://labyrinthos.co,shopify,80,True,0,5,,4619642,storeleads,,
www.americangirl.com,https://www.americangirl.com,shopify,80,True,0,5,,4596384,storeleads,,
us.brandymelville.com,https://us.brandymelville.com,shopify,80,True,0,5,,4413155,storeleads,,
bevmo.com,https://bevmo.com,shopify,80,True,0,5,,4251676,storeleads,,
www.benjerry.com,https://www.benjerry.com,shopify,80,True,0,5,,4242058,storeleads,,
petalandpup.com,https://petalandpup.com,shopify,80,True,0,5,,4114772,storeleads,,
www.babylist.com,https://www.babylist.com,shopify,80,True,0,5,,3982729,storeleads,,
www.keenfootwear.com,https://www.keenfootwear.com,shopify,80,True,0,5,,3958271,storeleads,,
inkbox.com,https://inkbox.com,shopify,80,True,0,5,,3942484,storeleads,,
tinyrituals.co,https://tinyrituals.co,shopify,80,True,0,5,,3923972,storeleads,,
bonnieplants.com,https://bonnieplants.com,shopify,80,True,0,5,,3870685,storeleads,,
www.happiestbaby.com,https://www.happiestbaby.com,shopify,80,True,0,5,,3850803,storeleads,,
www.craftsman.com,https://www.craftsman.com,shopify,80,True,0,5,,3810420,storeleads,,
www.dailywire.com,https://www.dailywire.com,shopify,80,True,0,5,,3798088,storeleads,,
drinkcirkul.com,https://drinkcirkul.com,shopify,80,True,0,5,,3715412,storeleads,,
www.dtlr.com,https://www.dtlr.com,shopify,80,True,0,5,,3689589,storeleads,,
www.fluke.com,https://www.fluke.com,shopify,80,True,0,5,,3661162,storeleads,,
www.ryzesuperfoods.com,https://www.ryzesuperfoods.com,shopify,80,True,0,5,,3513624,storeleads,,
www.proflowers.com,https://www.proflowers.com,shopify,80,True,0,5,,3506741,storeleads,,
www.ligonier.org,https://www.ligonier.org,shopify,80,True,0,5,,3450629,storeleads,,
www.47brand.com,https://www.47brand.com,shopify,80,True,0,5,,3441989,storeleads,,
www.aquariumcoop.com,https://www.aquariumcoop.com,shopify,80,True,0,5,,3428271,storeleads,,
spanx.com,https://spanx.com,shopify,80,True,0,5,,3400987,storeleads,,
www.glossier.com,https://www.glossier.com,shopify,80,True,0,5,,3396501,storeleads,,
www.peets.com,https://www.peets.com,shopify,80,True,0,5,,3369932,storeleads,,
www.hellomolly.com,https://www.hellomolly.com,shopify,80,True,0,5,,3367556,storeleads,,
www.alphapaw.com,https://www.alphapaw.com,shopify,80,True,0,5,,3365514,storeleads,,
daisous.com,https://daisous.com,shopify,80,True,0,5,,3361409,storeleads,,
jenis.com,https://jenis.com,shopify,80,True,0,5,,3348542,storeleads,,
travelpro.com,https://travelpro.com,shopify,80,True,0,5,,3336733,storeleads,,
store.figma.com,https://store.figma.com,shopify,80,True,0,5,,3305408,storeleads,,
www.fieldandstream.com,https://www.fieldandstream.com,shopify,80,True,0,5,,3295345,storeleads,,
mipod.com,https://mipod.com,shopify,80,True,0,5,,3266702,storeleads,,
www.sprayground.com,https://www.sprayground.com,shopify,80,True,0,5,,3266379,storeleads,,
www.nyandcompany.com,https://www.nyandcompany.com,shopify,80,True,0,5,,3244196,storeleads,,
www.skullcandy.com,https://www.skullcandy.com,shopify,80,True,0,5,,3243741,storeleads,,
www.rarebeauty.com,https://www.rarebeauty.com,shopify,80,True,0,5,,3213378,storeleads,,
www.plantingtree.com,https://www.plantingtree.com,shopify,80,True,0,5,,3176804,storeleads,,
whitefoxboutique.com,https://whitefoxboutique.com,shopify,80,True,0,5,,3129072,storeleads,,
www.arhaus.com,https://www.arhaus.com,shopify,80,True,0,5,,3102212,storeleads,,
www.whitehousehistory.org,https://www.whitehousehistory.org,shopify,80,True,0,5,,3077431,storeleads,,
juicycouture.com,https://juicycouture.com,shopify,80,True,0,5,,3073738,storeleads,,
www.wyze.com,https://www.wyze.com,shopify,80,True,0,5,,3068437,storeleads,,
www.fast-growing-trees.com,https://www.fast-growing-trees.com,shopify,80,True,0,5,,3055941,storeleads,,
rue21.com,https://rue21.com,shopify,80,True,0,5,,3034884,storeleads,,
www.dollskill.com,https://www.dollskill.com,shopify,80,True,0,5,,3016732,storeleads,,
amiri.com,https://amiri.com,shopify,80,True,0,5,,3013352,storeleads,,
www.livelyroot.com,https://www.livelyroot.com,shopify,80,True,0,5,,3000570,storeleads,,
www.yarnspirations.com,https://www.yarnspirations.com,shopify,80,True,0,5,,2993533,storeleads,,
www.turtlebeach.com,https://www.turtlebeach.com,shopify,80,True,0,5,,2992988,storeleads,,
www.melissaanddoug.com,https://www.melissaanddoug.com,shopify,80,True,0,5,,2905493,storeleads,,
www.thesill.com,https://www.thesill.com,shopify,80,True,0,5,,2874918,storeleads,,
blackstoneproducts.com,https://blackstoneproducts.com,shopify,80,True,0,5,,2810220,storeleads,,
www.golo.com,https://www.golo.com,shopify,80,True,0,5,,2764345,storeleads,,
us.supreme.com,https://us.supreme.com,shopify,80,True,0,5,,2760277,storeleads,,
beistravel.com,https://beistravel.com,shopify,80,True,0,5,,2742548,storeleads,,
www.ecoatm.com,https://www.ecoatm.com,shopify,80,True,0,5,,2740337,storeleads,,
edikted.com,https://edikted.com,shopify,80,True,0,5,,2734570,storeleads,,
www.tastesoflizzyt.com,https://www.tastesoflizzyt.com,shopify,80,True,0,5,,2692959,storeleads,,
www.tipsyelves.com,https://www.tipsyelves.com,shopify,80,True,0,5,,2690848,storeleads,,
us.bape.com,https://us.bape.com,shopify,80,True,0,5,,2645497,storeleads,,
stetson.com,https://stetson.com,shopify,80,True,0,5,,2639218,storeleads,,
pearljam.com,https://pearljam.com,shopify,80,True,0,5,,2638249,storeleads,,
godzilla.com,https://godzilla.com,shopify,80,True,0,5,,2632567,storeleads,,
www.youngla.com,https://www.youngla.com,shopify,80,True,0,5,,2624647,storeleads,,
www.hunterfan.com,https://www.hunterfan.com,shopify,80,True,0,5,,2623578,storeleads,,
boggbag.com,https://boggbag.com,shopify,80,True,0,5,,2616881,storeleads,,
us.laneige.com,https://us.laneige.com,shopify,80,True,0,5,,2603919,storeleads,,
www.toms.com,https://www.toms.com,shopify,80,True,0,5,,2602443,storeleads,,
www.nativecos.com,https://www.nativecos.com,shopify,80,True,0,5,,2598528,storeleads,,
corelle.com,https://corelle.com,shopify,80,True,0,5,,2594195,storeleads,,
www.venus.com,https://www.venus.com,shopify,80,True,0,5,,2566800,storeleads,,
www.laurageller.com,https://www.laurageller.com,shopify,80,True,0,5,,2566234,storeleads,,
instantpot.com,https://instantpot.com,shopify,80,True,0,5,,2542860,storeleads,,
www.littletikes.com,https://www.littletikes.com,shopify,80,True,0,5,,2540680,storeleads,,
www.woodhousespas.com,https://www.woodhousespas.com,shopify,80,True,0,5,,2539241,storeleads,,
timex.com,https://timex.com,shopify,80,True,0,5,,2533565,storeleads,,
www.glowrecipe.com,https://www.glowrecipe.com,shopify,80,True,0,5,,2521232,storeleads,,
www.toysrus.com,https://www.toysrus.com,shopify,80,True,0,5,,2519613,storeleads,,
www.naturemade.com,https://www.naturemade.com,shopify,80,True,0,5,,2511423,storeleads,,
www.igloocoolers.com,https://www.igloocoolers.com,shopify,80,True,0,5,,2493118,storeleads,,
hellobubble.com,https://hellobubble.com,shopify,80,True,0,5,,2493102,storeleads,,
www.blackanddecker.com,https://www.blackanddecker.com,shopify,80,True,0,5,,2484680,storeleads,,
www.browning.com,https://www.browning.com,shopify,80,True,0,5,,2483516,storeleads,,
www.thirdlove.com,https://www.thirdlove.com,shopify,80,True,0,5,,2471167,storeleads,,
www.tecovas.com,https://www.tecovas.com,shopify,80,True,0,5,,2470263,storeleads,,
www.winchesterguns.com,https://www.winchesterguns.com,shopify,80,True,0,5,,2448376,storeleads,,
www.stussy.com,https://www.stussy.com,shopify,80,True,0,5,,2446127,storeleads,,
www.harpercollins.com,https://www.harpercollins.com,shopify,80,True,0,5,,2443154,storeleads,,
wimpykid.com,https://wimpykid.com,shopify,80,True,0,5,,2438038,storeleads,,
www.kickscrew.com,https://www.kickscrew.com,shopify,80,True,0,5,,2430668,storeleads,,
www.shoepalace.com,https://www.shoepalace.com,shopify,80,True,0,5,,2428779,storeleads,,
www.drsquatch.com,https://www.drsquatch.com,shopify,80,True,0,5,,2424399,storeleads,,
us.ohpolly.com,https://us.ohpolly.com,shopify,80,True,0,5,,2423584,storeleads,,
littlesleepies.com,https://littlesleepies.com,shopify,80,True,0,5,,2420764,storeleads,,
www.benchmade.com,https://www.benchmade.com,shopify,80,True,0,5,,2418891,storeleads,,
www.birdygrey.com,https://www.birdygrey.com,shopify,80,True,0,5,,2417431,storeleads,,
www.stiiizy.com,https://www.stiiizy.com,shopify,80,True,0,5,,2414966,storeleads,,
www.rugsusa.com,https://www.rugsusa.com,shopify,80,True,0,5,,2381598,storeleads,,
www.meshki.us,https://www.meshki.us,shopify,80,True,0,5,,2376164,storeleads,,
hyperx.com,https://hyperx.com,shopify,80,True,0,5,,2347415,storeleads,,
www.schwinnbikes.com,https://www.schwinnbikes.com,shopify,80,True,0,5,,2339099,storeleads,,
colourpop.com,https://colourpop.com,shopify,80,True,0,5,,2335908,storeleads,,
hexclad.com,https://hexclad.com,shopify,80,True,0,5,,2325232,storeleads,,
creed.com,https://creed.com,shopify,80,True,0,5,,2324491,storeleads,,
telfar.net,https://telfar.net,shopify,80,True,0,5,,2322640,storeleads,,
jellyroll615.com,https://jellyroll615.com,shopify,80,True,0,5,,2320597,storeleads,,
www.oreo.com,https://www.oreo.com,shopify,80,True,0,5,,2309053,storeleads,,
www.nobullproject.com,https://www.nobullproject.com,shopify,80,True,0,5,,2299403,storeleads,,
www.getcasely.com,https://www.getcasely.com,shopify,80,True,0,5,,2279257,storeleads,,
buybuybaby.com,https://buybuybaby.com,shopify,80,True,0,5,,2275987,storeleads,,
www.adriannapapell.com,https://www.adriannapapell.com,shopify,80,True,0,5,,2272300,storeleads,,
www.rhodeskin.com,https://www.rhodeskin.com,shopify,80,True,0,5,,2270749,storeleads,,
www.jackboxgames.com,https://www.jackboxgames.com,shopify,80,True,0,5,,2269168,storeleads,,
kith.com,https://kith.com,shopify,80,True,0,5,,2258317,storeleads,,
drinkprime.com,https://drinkprime.com,shopify,80,True,0,5,,2256227,storeleads,,
www.oofos.com,https://www.oofos.com,shopify,80,True,0,5,,2252645,storeleads,,
www.liquid-iv.com,https://www.liquid-iv.com,shopify,80,True,0,5,,2251984,storeleads,,
showmeyourmumu.com,https://showmeyourmumu.com,shopify,80,True,0,5,,2251777,storeleads,,
balticborn.com,https://balticborn.com,shopify,80,True,0,5,,2249132,storeleads,,
www.edenbrothers.com,https://www.edenbrothers.com,shopify,80,True,0,5,,2239218,storeleads,,
www.toynk.com,https://www.toynk.com,shopify,80,True,0,5,,2227187,storeleads,,
www.bacardi.com,https://www.bacardi.com,shopify,80,True,0,5,,2222150,storeleads,,
www.urbanbodyjewelry.com,https://www.urbanbodyjewelry.com,shopify,80,True,0,5,,2201713,storeleads,,
www.freshtrends.com,https://www.freshtrends.com,shopify,80,True,0,5,,2171911,storeleads,,
drinkpoppi.com,https://drinkpoppi.com,shopify,80,True,0,5,,2163245,storeleads,,
drinkolipop.com,https://drinkolipop.com,shopify,80,True,0,5,,2146474,storeleads,,
forloveandlemons.com,https://forloveandlemons.com,shopify,80,True,0,5,,2131348,storeleads,,
www.shopwss.com,https://www.shopwss.com,shopify,80,True,0,5,,2127137,storeleads,,
