2026-04-02 20:57:03,656 [INFO] Loading domains from /home/cjs/tgacc/ecommerce-url-collector/output/mega_merged.csv...
2026-04-02 20:57:04,614 [INFO] Total domains: 366,815
2026-04-02 20:57:04,614 [INFO] To process: 366,815
2026-04-02 20:57:04,614 [INFO] Workers: 30, Chunk size: 500
2026-04-02 20:59:43,690 [INFO] Chunk 1/734 | Processed: 500 | Active: 200 | E-commerce: 172 | Rate: 3/s | ETA: 32.4h
2026-04-02 21:02:31,832 [INFO] Chunk 2/734 | Processed: 1,000 | Active: 226 | E-commerce: 194 | Rate: 3/s | ETA: 33.3h
2026-04-02 21:05:38,561 [INFO] Chunk 3/734 | Processed: 1,500 | Active: 246 | E-commerce: 203 | Rate: 3/s | ETA: 34.8h
2026-04-02 21:09:06,785 [INFO] Chunk 4/734 | Processed: 2,000 | Active: 269 | E-commerce: 217 | Rate: 3/s | ETA: 36.6h
2026-04-02 21:12:06,546 [INFO] Chunk 5/734 | Processed: 2,500 | Active: 312 | E-commerce: 250 | Rate: 3/s | ETA: 36.5h
2026-04-02 21:15:02,269 [INFO] Chunk 6/734 | Processed: 3,000 | Active: 340 | E-commerce: 272 | Rate: 3/s | ETA: 36.3h
2026-04-02 21:18:06,754 [INFO] Chunk 7/734 | Processed: 3,500 | Active: 384 | E-commerce: 306 | Rate: 3/s | ETA: 36.4h
2026-04-02 21:21:32,515 [INFO] Chunk 8/734 | Processed: 4,000 | Active: 429 | E-commerce: 341 | Rate: 3/s | ETA: 37.0h
2026-04-02 21:24:16,914 [INFO] Chunk 9/734 | Processed: 4,500 | Active: 509 | E-commerce: 407 | Rate: 3/s | ETA: 36.5h
2026-04-02 21:27:26,485 [INFO] Chunk 10/734 | Processed: 5,000 | Active: 590 | E-commerce: 474 | Rate: 3/s | ETA: 36.6h
2026-04-02 21:30:22,912 [INFO] Chunk 11/734 | Processed: 5,500 | Active: 639 | E-commerce: 516 | Rate: 3/s | ETA: 36.5h
2026-04-02 21:33:11,549 [INFO] Chunk 12/734 | Processed: 6,000 | Active: 711 | E-commerce: 575 | Rate: 3/s | ETA: 36.2h
2026-04-02 21:36:06,871 [INFO] Chunk 13/734 | Processed: 6,500 | Active: 775 | E-commerce: 623 | Rate: 3/s | ETA: 36.1h
2026-04-02 21:39:21,993 [INFO] Chunk 14/734 | Processed: 7,000 | Active: 845 | E-commerce: 681 | Rate: 3/s | ETA: 36.2h
2026-04-02 21:42:18,394 [INFO] Chunk 15/734 | Processed: 7,500 | Active: 912 | E-commerce: 739 | Rate: 3/s | ETA: 36.1h
2026-04-02 21:45:30,046 [INFO] Chunk 16/734 | Processed: 8,000 | Active: 986 | E-commerce: 797 | Rate: 3/s | ETA: 36.2h
2026-04-02 21:48:11,913 [INFO] Chunk 17/734 | Processed: 8,500 | Active: 1,087 | E-commerce: 890 | Rate: 3/s | ETA: 35.9h
2026-04-02 21:50:53,912 [INFO] Chunk 18/734 | Processed: 9,000 | Active: 1,192 | E-commerce: 980 | Rate: 3/s | ETA: 35.7h
2026-04-02 21:53:39,914 [INFO] Chunk 19/734 | Processed: 9,500 | Active: 1,308 | E-commerce: 1,077 | Rate: 3/s | ETA: 35.5h
2026-04-02 21:56:30,568 [INFO] Chunk 20/734 | Processed: 10,000 | Active: 1,389 | E-commerce: 1,150 | Rate: 3/s | ETA: 35.3h
2026-04-02 21:59:12,753 [INFO] Chunk 21/734 | Processed: 10,500 | Active: 1,492 | E-commerce: 1,241 | Rate: 3/s | ETA: 35.1h
2026-04-02 22:01:56,417 [INFO] Chunk 22/734 | Processed: 11,000 | Active: 1,608 | E-commerce: 1,339 | Rate: 3/s | ETA: 35.0h
2026-04-02 22:04:33,382 [INFO] Chunk 23/734 | Processed: 11,500 | Active: 1,719 | E-commerce: 1,432 | Rate: 3/s | ETA: 34.7h
2026-04-02 22:07:05,863 [INFO] Chunk 24/734 | Processed: 12,000 | Active: 1,832 | E-commerce: 1,534 | Rate: 3/s | ETA: 34.5h
2026-04-02 22:09:54,877 [INFO] Chunk 25/734 | Processed: 12,500 | Active: 1,934 | E-commerce: 1,627 | Rate: 3/s | ETA: 34.4h
2026-04-02 22:12:23,573 [INFO] Chunk 26/734 | Processed: 13,000 | Active: 2,003 | E-commerce: 1,685 | Rate: 3/s | ETA: 34.2h
2026-04-02 22:14:42,403 [INFO] Chunk 27/734 | Processed: 13,500 | Active: 2,077 | E-commerce: 1,740 | Rate: 3/s | ETA: 33.9h
2026-04-02 22:17:09,887 [INFO] Chunk 28/734 | Processed: 14,000 | Active: 2,133 | E-commerce: 1,780 | Rate: 3/s | ETA: 33.6h
2026-04-02 22:19:35,209 [INFO] Chunk 29/734 | Processed: 14,500 | Active: 2,186 | E-commerce: 1,817 | Rate: 3/s | ETA: 33.4h
2026-04-02 22:21:17,550 [INFO] Chunk 30/734 | Processed: 15,000 | Active: 2,289 | E-commerce: 1,894 | Rate: 3/s | ETA: 32.9h
2026-04-02 22:23:44,237 [INFO] Chunk 31/734 | Processed: 15,500 | Active: 2,380 | E-commerce: 1,968 | Rate: 3/s | ETA: 32.7h
2026-04-02 22:25:44,912 [INFO] Chunk 32/734 | Processed: 16,000 | Active: 2,476 | E-commerce: 2,053 | Rate: 3/s | ETA: 32.4h
2026-04-02 22:28:06,834 [INFO] Chunk 33/734 | Processed: 16,500 | Active: 2,607 | E-commerce: 2,164 | Rate: 3/s | ETA: 32.2h
2026-04-02 22:30:16,913 [INFO] Chunk 34/734 | Processed: 17,000 | Active: 2,732 | E-commerce: 2,271 | Rate: 3/s | ETA: 32.0h
2026-04-02 22:32:24,443 [INFO] Chunk 35/734 | Processed: 17,500 | Active: 2,841 | E-commerce: 2,364 | Rate: 3/s | ETA: 31.7h
2026-04-02 22:34:27,913 [INFO] Chunk 36/734 | Processed: 18,000 | Active: 2,966 | E-commerce: 2,474 | Rate: 3/s | ETA: 31.5h
2026-04-02 22:36:34,747 [INFO] Chunk 37/734 | Processed: 18,500 | Active: 3,113 | E-commerce: 2,600 | Rate: 3/s | ETA: 31.2h
2026-04-02 22:38:38,003 [INFO] Chunk 38/734 | Processed: 19,000 | Active: 3,252 | E-commerce: 2,723 | Rate: 3/s | ETA: 31.0h
2026-04-02 22:40:25,258 [INFO] Chunk 39/734 | Processed: 19,500 | Active: 3,389 | E-commerce: 2,850 | Rate: 3/s | ETA: 30.7h
2026-04-02 22:42:49,915 [INFO] Chunk 40/734 | Processed: 20,000 | Active: 3,508 | E-commerce: 2,955 | Rate: 3/s | ETA: 30.6h
2026-04-02 22:44:48,914 [INFO] Chunk 41/734 | Processed: 20,500 | Active: 3,651 | E-commerce: 3,078 | Rate: 3/s | ETA: 30.3h
2026-04-02 22:46:17,913 [INFO] Chunk 42/734 | Processed: 21,000 | Active: 3,801 | E-commerce: 3,211 | Rate: 3/s | ETA: 30.0h
2026-04-02 22:47:48,914 [INFO] Chunk 43/734 | Processed: 21,500 | Active: 3,931 | E-commerce: 3,328 | Rate: 3/s | ETA: 29.6h
2026-04-02 22:49:18,360 [INFO] Chunk 44/734 | Processed: 22,000 | Active: 4,069 | E-commerce: 3,453 | Rate: 3/s | ETA: 29.3h
2026-04-02 22:50:41,066 [INFO] Chunk 45/734 | Processed: 22,500 | Active: 4,212 | E-commerce: 3,589 | Rate: 3/s | ETA: 29.0h
2026-04-02 22:52:04,359 [INFO] Chunk 46/734 | Processed: 23,000 | Active: 4,318 | E-commerce: 3,683 | Rate: 3/s | ETA: 28.7h
2026-04-02 22:53:22,912 [INFO] Chunk 47/734 | Processed: 23,500 | Active: 4,474 | E-commerce: 3,828 | Rate: 3/s | ETA: 28.3h
2026-04-02 22:54:42,913 [INFO] Chunk 48/734 | Processed: 24,000 | Active: 4,604 | E-commerce: 3,942 | Rate: 3/s | ETA: 28.0h
2026-04-02 22:55:58,861 [INFO] Chunk 49/734 | Processed: 24,500 | Active: 4,754 | E-commerce: 4,078 | Rate: 3/s | ETA: 27.7h
2026-04-02 22:57:17,912 [INFO] Chunk 50/734 | Processed: 25,000 | Active: 4,868 | E-commerce: 4,179 | Rate: 3/s | ETA: 27.4h
2026-04-02 22:58:36,915 [INFO] Chunk 51/734 | Processed: 25,500 | Active: 4,994 | E-commerce: 4,296 | Rate: 3/s | ETA: 27.1h
2026-04-02 22:59:55,914 [INFO] Chunk 52/734 | Processed: 26,000 | Active: 5,129 | E-commerce: 4,416 | Rate: 4/s | ETA: 26.8h
2026-04-02 23:01:21,249 [INFO] Chunk 53/734 | Processed: 26,500 | Active: 5,256 | E-commerce: 4,538 | Rate: 4/s | ETA: 26.6h
2026-04-02 23:02:51,912 [INFO] Chunk 54/734 | Processed: 27,000 | Active: 5,376 | E-commerce: 4,646 | Rate: 4/s | ETA: 26.4h
2026-04-02 23:04:20,912 [INFO] Chunk 55/734 | Processed: 27,500 | Active: 5,492 | E-commerce: 4,750 | Rate: 4/s | ETA: 26.2h
2026-04-02 23:05:49,811 [INFO] Chunk 56/734 | Processed: 28,000 | Active: 5,613 | E-commerce: 4,852 | Rate: 4/s | ETA: 26.0h
2026-04-02 23:07:29,071 [INFO] Chunk 57/734 | Processed: 28,500 | Active: 5,728 | E-commerce: 4,956 | Rate: 4/s | ETA: 25.8h
2026-04-02 23:09:12,920 [INFO] Chunk 58/734 | Processed: 29,000 | Active: 5,844 | E-commerce: 5,058 | Rate: 4/s | ETA: 25.7h
2026-04-02 23:10:45,914 [INFO] Chunk 59/734 | Processed: 29,500 | Active: 5,976 | E-commerce: 5,180 | Rate: 4/s | ETA: 25.5h
2026-04-02 23:12:21,926 [INFO] Chunk 60/734 | Processed: 30,000 | Active: 6,110 | E-commerce: 5,307 | Rate: 4/s | ETA: 25.3h
2026-04-02 23:13:51,912 [INFO] Chunk 61/734 | Processed: 30,500 | Active: 6,241 | E-commerce: 5,419 | Rate: 4/s | ETA: 25.1h
2026-04-02 23:15:15,912 [INFO] Chunk 62/734 | Processed: 31,000 | Active: 6,365 | E-commerce: 5,529 | Rate: 4/s | ETA: 24.9h
2026-04-02 23:17:13,912 [INFO] Chunk 63/734 | Processed: 31,500 | Active: 6,460 | E-commerce: 5,606 | Rate: 4/s | ETA: 24.9h
2026-04-02 23:19:02,410 [INFO] Chunk 64/734 | Processed: 32,000 | Active: 6,505 | E-commerce: 5,648 | Rate: 4/s | ETA: 24.8h
2026-04-02 23:20:45,912 [INFO] Chunk 65/734 | Processed: 32,500 | Active: 6,515 | E-commerce: 5,653 | Rate: 4/s | ETA: 24.6h
2026-04-02 23:22:24,940 [INFO] Chunk 66/734 | Processed: 33,000 | Active: 6,531 | E-commerce: 5,665 | Rate: 4/s | ETA: 24.5h
2026-04-02 23:24:26,416 [INFO] Chunk 67/734 | Processed: 33,500 | Active: 6,535 | E-commerce: 5,666 | Rate: 4/s | ETA: 24.4h
2026-04-02 23:26:12,912 [INFO] Chunk 68/734 | Processed: 34,000 | Active: 6,542 | E-commerce: 5,669 | Rate: 4/s | ETA: 24.3h
2026-04-02 23:28:23,893 [INFO] Chunk 69/734 | Processed: 34,500 | Active: 6,553 | E-commerce: 5,674 | Rate: 4/s | ETA: 24.3h
2026-04-02 23:29:09,378 [WARNING] Can not load cookies: Illegal cookie name 'Beach,zip'
2026-04-02 23:30:05,189 [INFO] Chunk 70/734 | Processed: 35,000 | Active: 6,563 | E-commerce: 5,682 | Rate: 4/s | ETA: 24.2h
2026-04-02 23:33:52,683 [INFO] Chunk 71/734 | Processed: 35,500 | Active: 6,566 | E-commerce: 5,683 | Rate: 4/s | ETA: 24.4h
2026-04-02 23:38:10,405 [INFO] Chunk 72/734 | Processed: 36,000 | Active: 6,567 | E-commerce: 5,683 | Rate: 4/s | ETA: 24.7h
