domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
110110.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
12345.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
123shop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
12stitch.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
19fdesign.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
3rdi.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
3toed.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
5squares.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
78pixel.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
7mtest.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
9786946443210b71d7e9.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
a8mosaic.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aaaa.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aaaaaaa.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aaaaaaaaa.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aabc.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aajuba.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aalstore.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aamarket.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aaron.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aaronbailey.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abacustree.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aballai.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abc123.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcd.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcdef.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcinteractive.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcmart.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcsgiftshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcsid.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abcxyz.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abdl.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abelardians.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abeyang.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abhays.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abhijit.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abhishekgoyal.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abishop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ableandbaker.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abmtpromo.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abmtpromos.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abnerdesign.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abooks.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aborym.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aborym2.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aboutjean.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aboutjersey.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aboutlife.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aboutseven.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abraun64.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abteilung.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abubot.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
abunai-sai.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
acampada.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
