domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
10thshop.com,active_ecommerce,shopify,True,,3,True,huggingface
121pharmacy.co.uk,active_ecommerce,shopify,True,,3,True,huggingface
123displays.com,active_ecommerce,shopify,True,,3,True,huggingface
123dough.com,active_ecommerce,shopify,True,,3,True,huggingface
12baskets.com,active_ecommerce,shopify,True,,3,True,huggingface
12thtribe.com,active_ecommerce,shopify,True,,3,True,huggingface
13thblock.com,active_ecommerce,shopify,True,,3,True,huggingface
18thscalearmory.com,active_ecommerce,shopify,True,,3,True,huggingface
1adisplay.com,active_ecommerce,shopify,True,,3,True,huggingface
1homeshop.sg,active_ecommerce,shopify,True,,3,True,huggingface
1more.com,active_ecommerce,shopify,True,,3,True,huggingface
209mare.com,active_ecommerce,shopify,True,,3,True,huggingface
219collectibles.net,active_ecommerce,shopify,True,,3,True,huggingface
21collagen.com,active_ecommerce,shopify,True,,3,True,huggingface
247.golf,active_ecommerce,shopify,True,,3,True,huggingface
24k9.com.au,active_ecommerce,shopify,True,,3,True,huggingface
27milesmalibu.com,active_ecommerce,shopify,True,,3,True,huggingface
2abnormalsides.com,active_ecommerce,shopify,True,,3,True,huggingface
2dprotein.com,active_ecommerce,shopify,True,,3,True,huggingface
2ndstreetusa.com,active_ecommerce,shopify,True,,3,True,huggingface
2phitocontrol.com,active_ecommerce,shopify,True,,3,True,huggingface
2scalefab.com,active_ecommerce,shopify,True,,3,True,huggingface
2simpleagency.com,active_ecommerce,shopify,True,,3,True,huggingface
2udirect.co.uk,active_ecommerce,shopify,True,,3,True,huggingface
2xu.com,active_ecommerce,shopify,True,,3,True,huggingface
308industries.com,active_ecommerce,shopify,True,,3,True,huggingface
311-collectibles.nl,active_ecommerce,shopify,True,,3,True,huggingface
314display.com,active_ecommerce,shopify,True,,3,True,huggingface
33000ft.com,active_ecommerce,shopify,True,,3,True,huggingface
360fitnesssuperstore.com,active_ecommerce,shopify,True,,3,True,huggingface
360spb.com,active_ecommerce,shopify,True,,3,True,huggingface
361europe.com,active_ecommerce,shopify,True,,3,True,huggingface
39mine.com,active_ecommerce,shopify,True,,3,True,huggingface
3eyesclothing.com,active_ecommerce,shopify,True,,3,True,huggingface
3of7projectstore.com,active_ecommerce,shopify,True,,3,True,huggingface
