domain,url,platform,has_products,product_count,ecom_signals,detected_payments,tags,min_price,max_price
yoast.com,https://yoast.com,bigcommerce,False,0,1,,,0,0
anker.com,https://anker.com,shopify,False,0,1,,,0,0
wpml.org,https://wpml.org,woocommerce,False,0,1,,,0,0
fashionnova.com,https://fashionnova.com,shopify,True,5,1,,All Promo|Back In Stock 2023|category:Shoes|category_es:Zapatos|category_group:Accessories & Shoes|All Promo|Back In Stock 2023|category:Shoes|category_es:Zapatos|category_group:Accessories & Shoes,13.99,47.99
screamingfrog.co.uk,https://screamingfrog.co.uk,woocommerce,True,0,1,,,0,0
gymshark.com,https://gymshark.com,shopify,True,5,1,,02/04/26|acc-lower-bucket|accessories|activity:Rest Day|akeneo_updated_at:1775143409|02/04/26|acc-lower-bucket|accessories|activity:Lifting|akeneo_updated_at:1775143409,16.0,54.0
goop.com,https://goop.com,shopify,True,0,1,,,0,0
everlane.com,https://everlane.com,shopify,True,0,1,,,0,0
aioseo.com,https://aioseo.com,woocommerce,False,0,1,,,0,0
skims.com,https://skims.com,shopify,False,0,1,,,0,0
ohpolly.com,https://ohpolly.com,shopify,True,5,1,,ebay-all|excludedlist|no-treet|Novoga|Plus Size|ALLPRODUCTSOKENDO|ops-returns-2|Student Discount|twenty-inclusions|ALL PRODUCTS EXPORT UAE,17.0,100.0
princesspolly.com,https://princesspolly.com,shopify,True,0,1,shopify_payments,,0,0
fentybeauty.com,https://fentybeauty.com,shopify,True,5,1,,badge|NEW|Benefits:Conditioning|Benefits:Hydrating|Benefits:Moisturizing|catalog-exclude|baby pink|badge|BACK IN STOCK|bb::7991030153261::discount::10|bb::7991070949421::discount::15|bb::8057724928045::discount::15,1.5,45.0
glossier.com,https://glossier.com,shopify,True,5,1,,GLS 2.0|GLS 2.0 Sets|GLS 2.0 Standalone|Maximum Limit: 20|Shop All|final_sale|GLS 2.0|Maximum Limit: 3|merch|not eligible,16.0,42.0
