domain,myshopify,platform,has_products,product_count
lucky-fresh.myshopify.com,lucky-fresh.myshopify.com,shopify,False,0
chocolateed.myshopify.com,chocolateed.myshopify.com,shopify,False,0
sipshop.myshopify.com,sipshop.myshopify.com,shopify,True,1
whatmarket.myshopify.com,whatmarket.myshopify.com,shopify,True,1
makestyle.myshopify.com,makestyle.myshopify.com,shopify,False,0
girl-deal.myshopify.com,girl-deal.myshopify.com,shopify,True,1
family.myshopify.com,family.myshopify.com,shopify,True,1
gameify.myshopify.com,gameify.myshopify.com,shopify,True,1
gogrow.myshopify.com,gogrow.myshopify.com,shopify,False,0
complete-coffee.myshopify.com,complete-coffee.myshopify.com,shopify,True,1
starzone.myshopify.com,starzone.myshopify.com,shopify,False,0
seedshop.myshopify.com,seedshop.myshopify.com,shopify,True,1
kitty-nest.myshopify.com,kitty-nest.myshopify.com,shopify,False,0
grill.myshopify.com,grill.myshopify.com,shopify,False,0
nobliss.myshopify.com,nobliss.myshopify.com,shopify,False,0
yogacharge.myshopify.com,yogacharge.myshopify.com,shopify,True,1
