domain,status,platform,has_products,product_count,ecom_signals,has_payment
beauty.hotpepper.jp,active,,False,0,0,False
store.epicgames.com,timeout,,False,0,0,False
shop.bet9ja.com,active,,False,0,0,False
shop.gadgetsnow.com,active,,False,0,0,False
shop.samsung.com,timeout,,False,0,0,False
shopx100.pro,dead,,False,0,0,False
store.playstation.com,timeout,,False,0,0,False
ww3.5movierulz.pet,timeout,,False,0,0,False
xpanas.beauty,active,,False,0,0,False
5movierulz.pet,timeout,,False,0,0,False
bokepsin.store,active,,False,0,0,False
bokepviral.beauty,dead,,False,0,0,False
boutique.orange.fr,timeout,,False,0,0,False
goku.watch,dead,,False,0,0,False
groceries.asda.com,http_403,,False,0,0,False
mlsbd.shop,dead,,False,0,0,False
mlwbd.watch,dead,,False,0,0,False
shop.aeon.com,http_404,,False,0,0,False
shop.lululemon.com,active,,False,0,0,False
shopshops.live,http_526,,False,0,0,False
soap2day.rs,active,,False,0,0,False
soap2dayto.day,timeout,,False,0,0,False
soap2dayx.to,active,,False,0,0,False
store-jp.nintendo.com,active,,False,0,0,False
store.line.me,active,,False,0,0,False
store.tcgplayer.com,active_ecommerce,,True,0,2,True
ww6.5movierulz.pet,dead,,False,0,0,False
www.marathon.store,active,,False,0,0,False
www.playtamil.shop,dead,,False,0,0,False
perfume.hammering.work,active,,False,0,0,False
1vivo4d.shop,dead,,False,0,0,False
a-sikat88.shop,active,,False,0,0,False
admin.avec.beauty,active,,False,0,0,False
akunjp2.store,dead,,False,0,0,False
alibaba66.store,active,,False,0,0,False
apvbolso11.shop,active,,False,0,0,False
artificii-shop.ro,timeout,,False,0,0,False
asupan.shop,dead,,False,0,0,False
avtub.watch,dead,,False,0,0,False
bokepinfo.store,dead,,False,0,0,False
bonus138login.shop,dead,,False,0,0,False
bookep.beauty,dead,,False,0,0,False
bus.hdabla0v.shop,active,,False,0,0,False
buy.icicibank.com,timeout,,False,0,0,False
buy.iciciprulife.com,http_503,,False,0,0,False
buy.moonpay.com,active,,False,0,0,False
buy.realme.com,active,,False,0,0,False
customer.iciciprulife.com,http_503,,False,0,0,False
customer.ikco.ir,http_403,,False,0,0,False
customer.lichousing.com,timeout,,False,0,0,False
customer.sbiunipay.sbi,active,,False,0,0,False
customerapproval.marutisuzuki.com,active,,False,0,0,False
customerpanel.ikco.ir,dead,,False,0,0,False
decoracion.trendencias.com,active,,False,0,0,False
doeda7678.shop,dead,,False,0,0,False
doedazull.shop,dead,,False,0,0,False
doggy.market,timeout,,False,0,0,False
earn.osiu.shop,dead,,False,0,0,False
elektroniklengkap.shop,timeout,,False,0,0,False
erigo4dcu.store,dead,,False,0,0,False
fashionandcomplements.com,dead,,False,0,0,False
fashionki.com,active,,False,0,0,False
favizle.store,active,,False,0,0,False
filmyworlds.shop,timeout,,False,0,0,False
funcrot.shop,dead,,False,0,0,False
futureonline.store,timeout,,False,0,0,False
gacorgunung303.store,timeout,,False,0,0,False
gadget-cafe.jp,active,,False,0,0,False
gameserver-store.fazi.rs,http_403,,False,0,0,False
groceries.morrisons.com,active,,False,0,0,False
heekea.shop,dead,,False,0,0,False
idealliss.store,dead,,False,0,0,False
ideallno.store,timeout,,False,0,0,False
indojavs.shop,timeout,,False,0,0,False
itemmerona.store,timeout,,False,0,0,False
jacketsnewtrend.shop,timeout,,False,0,0,False
jacketssale.shop,dead,,False,0,0,False
jacketswinsale.shop,timeout,,False,0,0,False
jet77.shop,timeout,,False,0,0,False
jewel999.com,timeout,,False,0,0,False
jewelemas.site,dead,,False,0,0,False
kantorbola.store,dead,,False,0,0,False
kutu4dmaxwin.store,active,,False,0,0,False
mahajitu.store,timeout,,False,0,0,False
mahjong69.shop,active,,False,0,0,False
mart.ecer.com,active,,False,0,0,False
matahari88jackpot.store,active,,False,0,0,False
mobile-earn.beauty,active,,False,0,0,False
monopoly.jewelry,timeout,,False,0,0,False
movieshd.watch,dead,,False,0,0,False
mpogacortop.store,dead,,False,0,0,False
musicstore.auone.jp,http_403,,False,0,0,False
musik4dmerdu.store,dead,,False,0,0,False
mytoto4d.shop,timeout,,False,0,0,False
new6.filepress.store,dead,,False,0,0,False
nias99.store,dead,,False,0,0,False
olamovies.beauty,timeout,,False,0,0,False
outlet.asics.com,active,,False,0,0,True
pelangi123.store,timeout,,False,0,0,False
perkakas.store,timeout,,False,0,0,False
playbokep.store,active,,False,0,0,False
proxxyfilm.shop,http_403,,False,0,0,False
raja100-resmi.beauty,dead,,False,0,0,False
researchchems.shop,timeout,,False,0,0,False
rtp8000.shop,dead,,False,0,0,False
seller-area.youcan.shop,dead,,False,0,0,False
shop.aashirvaad.com,http_404,,False,0,0,False
shop.action.com,active,,False,0,0,False
shop.adidas.jp,active,,False,0,0,True
shop.advanceautoparts.com,active,,False,0,0,False
shop.afternoon-tea.net,active,,False,0,0,False
shop.aimerfeel.jp,dead,,False,0,0,False
shop.akachan.jp,active,,False,0,0,False
shop.apotal.de,timeout,,False,0,0,False
shop.autobacs.com,active,,False,0,0,False
shop.autoeuro.ru,active,,False,0,0,False
shop.axesfemme.com,active,,False,0,0,False
shop.bigticket.ae,active,,False,0,0,False
shop.cake-cake.net,active,,False,0,0,False
shop.compasia.com,active_ecommerce,shopify,True,3,5,False
shop.dallascowboys.com,http_403,,False,0,0,False
shop.danawa.com,active,,False,0,0,False
shop.deutschepost.de,timeout,,False,0,0,False
shop.doterra.com,active,,False,0,0,False
shop.ethnic.pk,active_ecommerce,shopify,True,3,5,False
shop.ford.com,active,,False,0,0,False
shop.garena.my,active,,False,0,0,False
shop.garena.ph,active,,False,0,0,False
