domain,status,platform,has_products,product_count,ecom_signals,has_payment
print.adultproxy.men,timeout,,False,0,0,False
print.ebanx.com,http_403,,False,0,0,False
print.endicia.com,active,,False,0,0,False
print.krokotak.com,active,,False,0,0,False
printable-cards.gotfreecards.com,active,,False,0,0,False
printables.hp.com,active,,False,0,0,False
printbet.bet,dead,,False,0,0,False
printbu.ro,active,,False,0,0,False
printedmint.com,active_ecommerce,,True,0,3,False
printedwargames.com,active,,False,0,0,False
printer-support-en.com,active,,False,0,0,False
printerbaru.xyz,active,,False,0,0,False
printerpoint.co.in,timeout,,False,0,0,False
printportal.tudelft.nl:9443,timeout,,False,0,0,False
printscard.com,timeout,,False,0,0,False
printsoflove.com,timeout,,False,0,0,False
printsta.jp,active,,False,0,0,False
printup.pl,active,,False,0,0,False
pro.snapp.market,http_403,,False,0,0,False
produkramai.store,dead,,False,0,0,False
promabar69.shop,timeout,,False,0,0,False
prostomerch.shop,timeout,,False,0,0,False
prx-mov.shop,timeout,,False,0,0,False
ps4.warframe.market,active,,False,0,0,False
pureayurveda.shop,dead,,False,0,0,False
pusakajaya.store,dead,,False,0,0,False
qfvud.shop,dead,,False,0,0,False
qh88qh.shop,dead,,False,0,0,False
qjtsdwp.shop,active,,False,0,0,False
qsmp.shop,active_ecommerce,,True,0,3,True
quicksell.store,active,,False,0,0,False
quiz-earn.beauty,timeout,,False,0,0,False
quizearn.beauty,timeout,,False,0,0,False
r1.rabittt.shop,dead,,False,0,0,False
r857.shop,dead,,False,0,0,False
r88jpku.store,active,,False,0,0,False
racheta-shop.ro,active_ecommerce,woocommerce,True,0,1,False
rafara.shop,timeout,,False,0,0,False
rahnama.shop,timeout,,False,0,0,False
rahuls.saastabazar.shop,timeout,,False,0,0,False
raja88jp4.shop,timeout,,False,0,0,False
raja88jp4.store,timeout,,False,0,0,False
rajahoki899a.store,timeout,,False,0,0,False
rajazeuskeren.shop,timeout,,False,0,0,False
rcdiouh.shop,timeout,,False,0,0,False
rclfhe.shop,timeout,,False,0,0,False
reaktornuklir.shop,timeout,,False,0,0,False
rebajaslefties.shop,timeout,,False,0,0,False
refhunter.shop,timeout,,False,0,0,False
relab.store,timeout,,False,0,0,False
remajamaya.store,timeout,,False,0,0,False
republic-store.com,timeout,,False,0,0,False
revamart.shop,timeout,,False,0,0,False
reved.shop,timeout,,False,0,0,False
reyes-clothing.fr,timeout,,False,0,0,False
rh899amp.store,timeout,,False,0,0,False
rhino88-rajanya-selot.shop,timeout,,False,0,0,False
rhino88main.shop,timeout,,False,0,0,False
rightretailers.shop,timeout,,False,0,0,False
riven.market,timeout,,False,0,0,False
riverroad1091.shop,timeout,,False,0,0,False
rndm.store,timeout,,False,0,0,False
rockonsocialclub-store.jp,timeout,,False,0,0,False
roi-club.store,timeout,,False,0,0,False
rok3t2lapan8.shop,timeout,,False,0,0,False
roketkertas.shop,timeout,,False,0,0,False
rosenglobal.shop,timeout,,False,0,0,False
rosi-store.ru,timeout,,False,0,0,False
royal-fashion.ro,timeout,,False,0,0,False
royal-shop.pl,timeout,,False,0,0,False
royalbet899.shop,timeout,,False,0,0,False
rpay.howcanihelpyou.store,timeout,,False,0,0,False
rtp-nusa188.shop,timeout,,False,0,0,False
rtpcuan123.shop,timeout,,False,0,0,False
rtphugo77a.store,timeout,,False,0,0,False
rtpjuragan69vip.shop,timeout,,False,0,0,False
rtpmansion77.store,timeout,,False,0,0,False
rtpmaxwin138.beauty,timeout,,False,0,0,False
rtpokta188.shop,timeout,,False,0,0,False
rtpokta388.shop,timeout,,False,0,0,False
rtppunya-winstar4d.shop,timeout,,False,0,0,False
rtpraja328.store,timeout,,False,0,0,False
rtpsrikandi88.store,timeout,,False,0,0,False
ru.xnxx01.shop,timeout,,False,0,0,False
rucas.store,timeout,,False,0,0,False
rumahlt88sport.shop,timeout,,False,0,0,False
russkoetv.shop,timeout,,False,0,0,False
rutnadl.shop,timeout,,False,0,0,False
ry.animtdog.shop,timeout,,False,0,0,False
s8ul.store,timeout,,False,0,0,False
sadewa77j1.shop,timeout,,False,0,0,False
safefunds.store,timeout,,False,0,0,False
safirshop.shop,timeout,,False,0,0,False
sakura118.shop,timeout,,False,0,0,False
sale.jackectadda.shop,timeout,,False,0,0,False
salehappt.shop,timeout,,False,0,0,False
saleshps08.shop,timeout,,False,0,0,False
samp-store.ru,timeout,,False,0,0,False
samurai69gacor.shop,timeout,,False,0,0,False
sangpisang.store,timeout,,False,0,0,False
sanji0715.flexg.shop,timeout,,False,0,0,False
santasuerte.shop,timeout,,False,0,0,False
sareemall.shop,timeout,,False,0,0,False
savetime.shop,timeout,,False,0,0,False
saza.coffee,timeout,,False,0,0,False
sb.hairju.shop,timeout,,False,0,0,False
sbistock.shop,timeout,,False,0,0,False
scansuzuya.shop,timeout,,False,0,0,False
schallerbach-shop.eurothermen.at,timeout,,False,0,0,False
schnelltest-store.de,timeout,,False,0,0,False
secure.drop-point.store,timeout,,False,0,0,False
segredodofortune.shop,timeout,,False,0,0,False
selalu-laris.shop,timeout,,False,0,0,False
selendangwin.store,timeout,,False,0,0,False
seller.msglow.shop,timeout,,False,0,0,False
selot7ksun.shop,timeout,,False,0,0,False
semibola.store,timeout,,False,0,0,False
semizle.store,timeout,,False,0,0,False
semyanich-shop-1.fun,timeout,,False,0,0,False
sensa138b.store,timeout,,False,0,0,False
sensational77.shop,timeout,,False,0,0,False
sentermini.store,timeout,,False,0,0,False
serge-fashion.by,timeout,,False,0,0,False
server.disp.shop,timeout,,False,0,0,False
sex-shop69.sk,timeout,,False,0,0,False
sex.anne11.shop,timeout,,False,0,0,False
sex.anne13.shop,timeout,,False,0,0,False
sex.anne14.shop,timeout,,False,0,0,False
sex.anne16.shop,timeout,,False,0,0,False
sex.anne17.shop,timeout,,False,0,0,False
sex.anne18.shop,timeout,,False,0,0,False
sex.anne7.shop,timeout,,False,0,0,False
sex.anne9.shop,timeout,,False,0,0,False
sex.aye7.shop,timeout,,False,0,0,False
sex.kore10.shop,timeout,,False,0,0,False
sex.kore11.shop,timeout,,False,0,0,False
sex.kore119.shop,timeout,,False,0,0,False
sex.kore13.shop,timeout,,False,0,0,False
sex.kore14.shop,timeout,,False,0,0,False
sex.kore16.shop,timeout,,False,0,0,False
sex.kore17.shop,timeout,,False,0,0,False
sex.kore18.shop,timeout,,False,0,0,False
sex.kore6.shop,timeout,,False,0,0,False
sex.kore9.shop,timeout,,False,0,0,False
sex.koreaye5.shop,timeout,,False,0,0,False
sex.lim10.shop,timeout,,False,0,0,False
sex.lim11.shop,timeout,,False,0,0,False
sex.lim13.shop,timeout,,False,0,0,False
sex.lim14.shop,timeout,,False,0,0,False
sex.lim15.shop,timeout,,False,0,0,False
sex.lim16.shop,timeout,,False,0,0,False
sex.lim17.shop,timeout,,False,0,0,False
sex.lim18.shop,timeout,,False,0,0,False
sex.lim190.shop,timeout,,False,0,0,False
sex.lim7.shop,timeout,,False,0,0,False
sex.lim9.shop,timeout,,False,0,0,False
sex.limporno5.shop,timeout,,False,0,0,False
sex.limporno6.shop,timeout,,False,0,0,False
sex.porno5.shop,timeout,,False,0,0,False
sex.porno6.shop,timeout,,False,0,0,False
sextoys-india.shop,timeout,,False,0,0,False
sgcwin-games.beauty,timeout,,False,0,0,False
sgcwin-games.shop,timeout,,False,0,0,False
sgpay.howcanihelpyou.store,timeout,,False,0,0,False
sheein-phone.shop,timeout,,False,0,0,False
shider.store,timeout,,False,0,0,False
shiotogel4db.shop,timeout,,False,0,0,False
shohrehmoradian.store,timeout,,False,0,0,False
shop-admin.purelovers.com,timeout,,False,0,0,False
shop-beauty.dior.sa,timeout,,False,0,0,False
shop-by-bar.nl,timeout,,False,0,0,False
shop-dance.com,timeout,,False,0,0,False
shop-eu.flylondon.com,timeout,,False,0,0,False
shop-eu.kurzgesagt.org,timeout,,False,0,0,False
shop-gardenplants.ru,timeout,,False,0,0,False
shop-hobby.com,timeout,,False,0,0,False
shop-id-buavita.com,timeout,,False,0,0,False
shop-id-clear.com,timeout,,False,0,0,False
shop-id-dovehair.com,timeout,,False,0,0,False
shop-id-lifebuoy.com,timeout,,False,0,0,False
shop-id-lifebuoyhair.com,timeout,,False,0,0,False
shop-id-pepsodent.com,timeout,,False,0,0,False
shop-id-ponds.com,timeout,,False,0,0,False
shop-id-pondsmen.com,timeout,,False,0,0,False
shop-id-rinso.com,timeout,,False,0,0,False
shop-id-tresemme.com,timeout,,False,0,0,False
shop-id-vaseline.com,timeout,,False,0,0,False
shop-in-3roses.com,timeout,,False,0,0,False
shop-in-milo.com,timeout,,False,0,0,False
shop-indianmotorcycle.com,timeout,,False,0,0,False
shop-int.mercedesamgf1.com,timeout,,False,0,0,False
shop-jp.doverstreetmarket.com,timeout,,False,0,0,False
shop-lieckipedia.de,timeout,,False,0,0,False
shop-lt.fmworld.com,timeout,,False,0,0,False
shop-mall.line.me,timeout,,False,0,0,False
shop-marblesud.com,timeout,,False,0,0,False
shop-member.interpark.com,timeout,,False,0,0,False
shop-meropaka.com,timeout,,False,0,0,False
shop-nl.fmworld.com,timeout,,False,0,0,False
shop-pk-dove.com,timeout,,False,0,0,False
shop-pt.fmworld.com,timeout,,False,0,0,False
shop-sale-zone.com,timeout,,False,0,0,False
shop-uk.fmworld.com,timeout,,False,0,0,False
shop-uk.lvjyonline.com,timeout,,False,0,0,False
shop-us-en.amd.com,timeout,,False,0,0,False
shop-with-points.marriott.com,timeout,,False,0,0,False
shop-yamatou.com,timeout,,False,0,0,False
shop.01net.com,timeout,,False,0,0,False
shop.10gongpass.com,timeout,,False,0,0,False
shop.2000ad.com,timeout,,False,0,0,False
shop.24print.eu,timeout,,False,0,0,False
shop.45r.jp,timeout,,False,0,0,False
shop.5soap.com,timeout,,False,0,0,False
shop.8bitdo.com,timeout,,False,0,0,False
shop.ac-93.com,timeout,,False,0,0,False
shop.accentry.com,timeout,,False,0,0,False
shop.activbet.com,timeout,,False,0,0,False
shop.add.one,timeout,,False,0,0,False
shop.adriaticket.com,timeout,,False,0,0,False
shop.aeg.de,timeout,,False,0,0,False
shop.aekfc.gr,timeout,,False,0,0,False
shop.aftabrayaneh.com,timeout,,False,0,0,False
shop.aghanoorofficial.com,timeout,,False,0,0,False
shop.agriloja.pt,timeout,,False,0,0,False
shop.ahw-shop.de,timeout,,False,0,0,False
shop.aida.de,timeout,,False,0,0,False
shop.airduka.com,timeout,,False,0,0,False
shop.ajour.com,timeout,,False,0,0,False
shop.akinformatica.it,timeout,,False,0,0,False
shop.albertoferrarini.it,timeout,,False,0,0,False
shop.aldakheeloud.com,timeout,,False,0,0,False
shop.aldautomotive.it,timeout,,False,0,0,False
shop.aldi.hu,timeout,,False,0,0,False
shop.alfisti.net,timeout,,False,0,0,False
shop.alharamainperfumes.com,timeout,,False,0,0,False
