domain,status,platform,has_products,product_count,ecom_signals,has_payment
katespadeoutletonline.us,dead,,False,0,0,False
spotonnorthcarolina.com,timeout,,False,0,0,False
impressart.com,active,,False,0,0,False
lotusbook24x7.com,active,,False,0,0,False
nobustore.com.br,http_403,,False,0,0,False
deepcharts.com,active,,False,0,0,False
compactaprint.com.br,active_ecommerce,woocommerce,True,0,4,False
37smart.com,active,,False,0,0,False
onlinedrugstore.science,dead,,False,0,0,False
badshop-austria.at,timeout,,False,0,0,False
usautoinsurancenow.com,active,,False,0,0,False
cadostore.com,active,,False,0,0,False
carabidae.org,timeout,,False,0,0,False
munnstech.com,active,,False,0,0,False
abouthome.pl,active,,False,0,1,False
vital-parts.co.uk,active,,False,0,0,False
game-xingcai.xyz,timeout,,False,0,0,False
ghanahealthservice.org,timeout,,False,0,0,False
ip-tech.com,dead,,False,0,0,False
victoriapublicmarket.com,active_ecommerce,woocommerce,True,0,1,False
steamdesktopauthenticator.me,timeout,,False,0,0,False
downtownstores.co.uk,active,,False,0,0,False
game-leqiusport.xyz,timeout,,False,0,0,False
homeone.com.au,http_403,,False,0,0,False
californiahomeschool.net,active_ecommerce,woocommerce,True,0,5,False
healthncure.net,active,,False,0,0,False
dunlopsautoshop.co.uk,timeout,,False,0,0,False
cartoonnetworkeurope.com,http_403,,False,0,0,False
ootdshop.gr,active_ecommerce,,True,0,2,False
betterhomebase.com,active,,False,0,1,False
ebooksar.com,timeout,,False,0,0,False
toolground.in,timeout,,False,0,0,False
careersatcoolblue.com,active,,False,0,0,False
artglasscut.com,active,,False,0,0,False
playmusic.uz,active,,False,0,0,False
cityhuitech.com,active,,False,0,0,False
homemadeanimalsex.lol,active,,False,0,0,False
deftechgroup.com,active,,False,0,0,False
homecredit.sk,active,,False,0,0,False
autovsalone.ru,timeout,,False,0,0,False
steamaster.com.au,active,,False,0,0,False
designhome.com,active,,False,0,0,False
autotz.net,active_ecommerce,,True,0,3,False
careershifters.org,active,,False,0,0,False
wavetechs.com,http_202,,False,0,0,False
briefyourmarket.com,active,,False,0,0,False
gblshopeu.org,active,,False,0,0,False
petrovisor.com,active,,False,0,0,False
eloghomes.com,active_ecommerce,woocommerce,True,0,2,False
aitechsinfo.com,active,,False,0,0,False
poloralphlaurenoutlet-uk.org.uk,timeout,,False,0,0,False
audipartsgiant.com,active,,False,0,0,False
cegroncare.co.uk,active_ecommerce,woocommerce,True,0,2,False
gameworld-casino.ro,active,,False,0,0,False
slcmarketing.com,active,,False,0,0,False
deepmusic.space,active,,False,0,0,False
puumarket.ee,timeout,,False,0,0,False
carplanner.com,active,,False,0,0,False
dnscosmocarrier.com,active,,False,0,0,False
mission-health.org,active,,False,0,0,False
artexplore.net,active_ecommerce,shopify,True,3,5,False
signalshop.rs,active_ecommerce,,True,0,3,False
stagecoachmusictour.com,active,,False,0,0,False
smartvideogo.com,active,,False,0,0,False
primeorganic.asia,active_ecommerce,woocommerce,True,0,6,False
kate-spadeoutletonline.us,http_403,,False,0,0,False
coltech.co.za,active,,False,0,0,False
mycarly.io,timeout,,False,0,0,False
qy-tech.cn,dead,,False,0,0,False
aeducar.es,active,,False,0,0,False
kingautos.net,active,,False,0,0,False
frenchbeauty.cl,active_ecommerce,woocommerce,True,0,2,False
amnesiashop.com,active,,False,0,0,False
theicarusproject.net,active,,False,0,0,False
alfastore.de,active,,False,0,0,False
airthgames.co.uk,active,,False,0,0,False
diplomis-o-vysshem-v-nizhnevartovske-72.ru,timeout,,False,0,0,False
luminishealth.org,active,,False,0,0,False
agrartechnikonline.de,timeout,,False,0,0,False
trompetenforum.de,active,,False,0,0,False
parksmart.in,timeout,,False,0,0,False
lifebooker.com,active,,False,0,0,False
precisionhealth.biz,dead,,False,0,0,False
sglcars.sk,timeout,,False,0,0,False
foodstoragemadeeasy.net,active,,False,0,0,False
druzya-iz-kartonnoy-korobki.christmas,dead,,False,0,0,False
solrentacar.com,http_403,,False,0,0,False
americandentalcare.org,active_ecommerce,woocommerce,True,0,3,False
vricares.com,active,,False,0,0,False
ailstores.co.uk,http_500,,False,0,0,False
artefacto.com.br,active,,False,0,0,False
mainauto.su,timeout,,False,0,0,False
asia77pet.info,timeout,,False,0,0,False
mamahealth.com,active,,False,0,0,False
b2bstore.gr,active_ecommerce,,True,0,2,False
cardconduit.com,active,,False,0,0,False
make.toys,active_ecommerce,shopify,True,0,1,False
carnevalecento.com,active,,False,0,0,False
belmontebikes.com,active_ecommerce,shopify,True,3,5,False
sancarlo.co.uk,http_403,,False,0,0,False
68gamebait3.green,timeout,,False,0,0,False
partyrama.co.uk,timeout,,False,0,0,False
skagitregionalhealth.org,timeout,,False,0,0,False
carebox.global,active,,False,0,0,False
newbridgehealth.org,timeout,,False,0,0,False
urbankitchengroup.com,timeout,,False,0,0,False
tradecraft.buzz,active,,False,0,0,False
download-hgsport.xyz,dead,,False,0,0,False
autoeurope.co.uk,active,,False,0,0,False
technoportal.com.ua,http_403,,False,0,0,False
coastarts.org,active_ecommerce,woocommerce,True,0,3,False
flowers-island.ru,active,,False,0,0,False
creationcare.org,timeout,,False,0,0,False
megamindseducare.com,timeout,,False,0,0,False
darvishmusic.com,timeout,,False,0,0,False
peteswatches.co.uk,timeout,,False,0,0,False
friendsofthepublicgarden.org,timeout,,False,0,0,False
earthlinkbusiness.com,active,,False,0,0,False
kisandeals.com,active,,False,0,0,False
colescareers.com.au,active,,False,0,0,False
