domain,status,platform,has_products,product_count,ecom_signals,has_payment
0000-27.myshopify.com,http_404,,False,0,0,False
0000-9525.myshopify.com,http_404,,False,0,0,False
00000-niche.myshopify.com,active_ecommerce,shopify,True,0,3,False
00002b-6e.myshopify.com,http_402,,False,0,0,False
00008a-a7.myshopify.com,timeout,,False,0,0,False
0000b0-cb.myshopify.com,http_404,,False,0,0,False
0001-9637.myshopify.com,http_402,,False,0,0,False
0001-t.myshopify.com,active_ecommerce,shopify,True,0,4,False
000129-80.myshopify.com,http_402,,False,0,0,False
0001ac-5f.myshopify.com,timeout,,False,0,0,False
0002-merch.myshopify.com,http_404,,False,0,0,False
000246-2.myshopify.com,http_402,,False,0,0,False
0002a9-7e.myshopify.com,http_404,,False,0,0,False
0002b0-2.myshopify.com,active_ecommerce,shopify,True,3,5,False
0003bd-ca.myshopify.com,active_ecommerce,shopify,True,3,5,False
0003d0-ed.myshopify.com,http_402,,False,0,0,False
0003f3-c4.myshopify.com,active_ecommerce,shopify,True,3,5,False
0003f4-c5.myshopify.com,http_404,,False,0,0,False
00048d-2.myshopify.com,http_404,,False,0,0,False
0004ca-45.myshopify.com,active_ecommerce,shopify,True,3,5,False
000526-f7.myshopify.com,http_402,,False,0,0,False
000540-2.myshopify.com,http_404,,False,0,0,False
000550-a2.myshopify.com,http_402,,False,0,0,False
000553-3.myshopify.com,http_404,,False,0,0,False
0005ff-ac.myshopify.com,http_404,,False,0,0,False
000615-e6.myshopify.com,http_404,,False,0,0,False
00066b-54.myshopify.com,active_ecommerce,shopify,True,3,5,False
00067c-9c.myshopify.com,http_404,,False,0,0,False
00076b-2.myshopify.com,http_404,,False,0,0,False
000770-29.myshopify.com,http_404,,False,0,0,False
0007d4-7.myshopify.com,http_404,,False,0,0,False
0007ea-2.myshopify.com,http_404,,False,0,0,False
00081d-2.myshopify.com,timeout,,False,0,0,False
00088c-55.myshopify.com,http_404,,False,0,0,False
000892-79.myshopify.com,active_ecommerce,shopify,True,3,5,False
0008f4-1f.myshopify.com,active_ecommerce,shopify,True,2,5,False
000929-2.myshopify.com,timeout,,False,0,0,False
000987-3.myshopify.com,timeout,,False,0,0,False
000a3e-3.myshopify.com,timeout,,False,0,0,False
000a5a-6b.myshopify.com,timeout,,False,0,0,False
000a75-4.myshopify.com,http_404,,False,0,0,False
000a9b-2.myshopify.com,active_ecommerce,shopify,True,3,5,False
000b07-83.myshopify.com,http_404,,False,0,0,False
000bf4-e6.myshopify.com,active_ecommerce,shopify,True,3,5,False
000bfe-2.myshopify.com,http_404,,False,0,0,False
000c87-4.myshopify.com,http_402,,False,0,0,False
000cd3-3.myshopify.com,http_404,,False,0,0,False
000d1f-81.myshopify.com,http_404,,False,0,0,False
000d71-43.myshopify.com,http_402,,False,0,0,False
000dc4-a7.myshopify.com,http_404,,False,0,0,False
000dcb-ff.myshopify.com,timeout,,False,0,0,False
000de4-6f.myshopify.com,active_ecommerce,shopify,True,3,5,False
000de8-2.myshopify.com,active_ecommerce,shopify,True,3,5,False
000dfd-07.myshopify.com,http_404,,False,0,0,False
000e10-2.myshopify.com,timeout,,False,0,0,False
000e2a-2.myshopify.com,timeout,,False,0,0,False
000e2a-3e.myshopify.com,http_404,,False,0,0,False
000e9b-2.myshopify.com,timeout,,False,0,0,False
000ed4-2.myshopify.com,http_402,,False,0,0,False
000f1e-75.myshopify.com,timeout,,False,0,0,False
000f86-2.myshopify.com,timeout,,False,0,0,False
000fda-70.myshopify.com,timeout,,False,0,0,False
000fe4-2.myshopify.com,timeout,,False,0,0,False
001-yourchoice-products.myshopify.com,timeout,,False,0,0,False
0010a8-2.myshopify.com,timeout,,False,0,0,False
0011b2-ac.myshopify.com,timeout,,False,0,0,False
0011ea-2.myshopify.com,timeout,,False,0,0,False
0011eb-9e.myshopify.com,timeout,,False,0,0,False
001233-95.myshopify.com,timeout,,False,0,0,False
001236-74.myshopify.com,timeout,,False,0,0,False
00123b-d5.myshopify.com,timeout,,False,0,0,False
001244-26.myshopify.com,timeout,,False,0,0,False
001262-cf.myshopify.com,timeout,,False,0,0,False
001266-55.myshopify.com,timeout,,False,0,0,False
001277-72.myshopify.com,timeout,,False,0,0,False
001292-3.myshopify.com,timeout,,False,0,0,False
0012c0-41.myshopify.com,timeout,,False,0,0,False
0012db-03.myshopify.com,timeout,,False,0,0,False
001366-2.myshopify.com,timeout,,False,0,0,False
0013b4-2.myshopify.com,timeout,,False,0,0,False
0013d2-3.myshopify.com,timeout,,False,0,0,False
0013f1-4.myshopify.com,timeout,,False,0,0,False
00140e-23.myshopify.com,timeout,,False,0,0,False
001459-24.myshopify.com,timeout,,False,0,0,False
001485-ec.myshopify.com,timeout,,False,0,0,False
0014ff-3.myshopify.com,timeout,,False,0,0,False
001545-48.myshopify.com,timeout,,False,0,0,False
0015f6-3.myshopify.com,timeout,,False,0,0,False
0016aa-21.myshopify.com,timeout,,False,0,0,False
001738-3.myshopify.com,timeout,,False,0,0,False
001738-5.myshopify.com,timeout,,False,0,0,False
001771-2.myshopify.com,timeout,,False,0,0,False
001794-77.myshopify.com,timeout,,False,0,0,False
001797-12.myshopify.com,timeout,,False,0,0,False
0017a6-d3.myshopify.com,timeout,,False,0,0,False
0017da-3.myshopify.com,timeout,,False,0,0,False
0017f3-f8.myshopify.com,timeout,,False,0,0,False
001812-0a.myshopify.com,timeout,,False,0,0,False
001858-2.myshopify.com,timeout,,False,0,0,False
001867-fd.myshopify.com,timeout,,False,0,0,False
0018c8-2.myshopify.com,timeout,,False,0,0,False
00191c-27.myshopify.com,timeout,,False,0,0,False
001944-31.myshopify.com,timeout,,False,0,0,False
00196c-5f.myshopify.com,timeout,,False,0,0,False
001974-8f.myshopify.com,timeout,,False,0,0,False
0019d2-3.myshopify.com,timeout,,False,0,0,False
0019f5-ea.myshopify.com,timeout,,False,0,0,False
001a85-e8.myshopify.com,timeout,,False,0,0,False
001b10-04.myshopify.com,timeout,,False,0,0,False
001b11-27.myshopify.com,timeout,,False,0,0,False
001bce-fb.myshopify.com,timeout,,False,0,0,False
001c58-2.myshopify.com,timeout,,False,0,0,False
001d30-49.myshopify.com,timeout,,False,0,0,False
001d5d-80.myshopify.com,timeout,,False,0,0,False
001e7b-2.myshopify.com,timeout,,False,0,0,False
001e7f-2.myshopify.com,timeout,,False,0,0,False
001f7b-3.myshopify.com,timeout,,False,0,0,False
001fa4-4.myshopify.com,timeout,,False,0,0,False
00202c-aa.myshopify.com,timeout,,False,0,0,False
00207a-ab.myshopify.com,timeout,,False,0,0,False
0020e8-2.myshopify.com,timeout,,False,0,0,False
002101-eb.myshopify.com,timeout,,False,0,0,False
0021a2-2.myshopify.com,timeout,,False,0,0,False
0021c3-78.myshopify.com,timeout,,False,0,0,False
00224f-15.myshopify.com,timeout,,False,0,0,False
0022b3-95.myshopify.com,timeout,,False,0,0,False
0022df-c2.myshopify.com,timeout,,False,0,0,False
00237c-55.myshopify.com,timeout,,False,0,0,False
00238e-86.myshopify.com,timeout,,False,0,0,False
0023b2-2.myshopify.com,timeout,,False,0,0,False
0023c5-8.myshopify.com,timeout,,False,0,0,False
0023f3-2.myshopify.com,timeout,,False,0,0,False
002404-2.myshopify.com,timeout,,False,0,0,False
002415-84.myshopify.com,timeout,,False,0,0,False
00245f-2.myshopify.com,timeout,,False,0,0,False
00246d-8e.myshopify.com,timeout,,False,0,0,False
00248b-3.myshopify.com,timeout,,False,0,0,False
002532-3.myshopify.com,timeout,,False,0,0,False
00253a-15.myshopify.com,timeout,,False,0,0,False
00253e-2.myshopify.com,timeout,,False,0,0,False
00253f-19.myshopify.com,timeout,,False,0,0,False
00255c-6.myshopify.com,timeout,,False,0,0,False
002582-2.myshopify.com,timeout,,False,0,0,False
002590-e5.myshopify.com,timeout,,False,0,0,False
0025ca-ec.myshopify.com,timeout,,False,0,0,False
0025d8-98.myshopify.com,timeout,,False,0,0,False
002619-2.myshopify.com,timeout,,False,0,0,False
00263c-54.myshopify.com,timeout,,False,0,0,False
00264f-2.myshopify.com,timeout,,False,0,0,False
00266c-uj.myshopify.com,timeout,,False,0,0,False
002671-91.myshopify.com,timeout,,False,0,0,False
002678-2.myshopify.com,timeout,,False,0,0,False
002679-57.myshopify.com,timeout,,False,0,0,False
0026aa-31.myshopify.com,timeout,,False,0,0,False
0026bf-2.myshopify.com,timeout,,False,0,0,False
0026c8-ad.myshopify.com,timeout,,False,0,0,False
00277e-8f.myshopify.com,timeout,,False,0,0,False
0028e8-2.myshopify.com,timeout,,False,0,0,False
0028f0-6.myshopify.com,timeout,,False,0,0,False
002964-5.myshopify.com,timeout,,False,0,0,False
002983-5.myshopify.com,timeout,,False,0,0,False
002a07-1e.myshopify.com,timeout,,False,0,0,False
002a2b-2.myshopify.com,timeout,,False,0,0,False
002abf-4.myshopify.com,timeout,,False,0,0,False
002b19-fd.myshopify.com,timeout,,False,0,0,False
002bc7-78.myshopify.com,timeout,,False,0,0,False
002c37-32.myshopify.com,timeout,,False,0,0,False
002c3d-5f.myshopify.com,timeout,,False,0,0,False
002c52-3.myshopify.com,timeout,,False,0,0,False
002c76-3.myshopify.com,timeout,,False,0,0,False
002c90-2b.myshopify.com,timeout,,False,0,0,False
002cad-5.myshopify.com,timeout,,False,0,0,False
002d4c-77.myshopify.com,timeout,,False,0,0,False
002ddc-28.myshopify.com,timeout,,False,0,0,False
002e8d-9c.myshopify.com,timeout,,False,0,0,False
002f34-3b.myshopify.com,timeout,,False,0,0,False
002f3a-3d.myshopify.com,timeout,,False,0,0,False
002f70-82.myshopify.com,timeout,,False,0,0,False
003022-26.myshopify.com,timeout,,False,0,0,False
003070-2.myshopify.com,timeout,,False,0,0,False
0030c2-7e.myshopify.com,timeout,,False,0,0,False
0030e0-d9.myshopify.com,timeout,,False,0,0,False
0031-shop.myshopify.com,timeout,,False,0,0,False
00310f-2.myshopify.com,timeout,,False,0,0,False
0031a9-c3.myshopify.com,timeout,,False,0,0,False
00325e-44.myshopify.com,timeout,,False,0,0,False
0032a5-07.myshopify.com,timeout,,False,0,0,False
0032ca-12.myshopify.com,timeout,,False,0,0,False
0032cc-c1.myshopify.com,http_404,,False,0,0,False
00331c-c8.myshopify.com,http_404,,False,0,0,False
00336d-2.myshopify.com,http_402,,False,0,0,False
00337b-b6.myshopify.com,http_404,,False,0,0,False
0033ca-4.myshopify.com,http_404,,False,0,0,False
0033e7-8.myshopify.com,active_ecommerce,,True,0,2,False
003403-3.myshopify.com,active_ecommerce,shopify,True,0,4,False
00341d-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
00349a-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
0034ba-3e.myshopify.com,http_404,,False,0,0,False
0034bd-a0.myshopify.com,active_ecommerce,shopify,True,3,5,False
0034c9-38.myshopify.com,http_402,,False,0,0,False
0034f5-2.myshopify.com,http_404,,False,0,0,False
003520-2c.myshopify.com,active_ecommerce,shopify,True,3,5,False
00357f-ed.myshopify.com,http_404,,False,0,0,False
0035f4-2.myshopify.com,active_ecommerce,shopify,True,3,5,False
003639-2.myshopify.com,http_404,,False,0,0,False
003671-97.myshopify.com,active_ecommerce,shopify,True,3,5,False
003673-4.myshopify.com,active_ecommerce,shopify,True,3,5,False
